starter,starter_KEGG_ID,starter_in,starter_out,starter_total,receiver,receiver_KEGG_ID,receiver_in,receiver_out,receiver_total,relation,PMID,Img,GPT_answer,KEGG_matched
PKC,hsa:112476,8,7,15,PLC-y,None,5,5,10,activate,21715183,21715183_page2_39.jpg,No,gene not mapped
VEGFR,hsa:3791,0,1,1,PLC-y,None,5,5,10,activate,21715183,21715183_page2_39.jpg,No,gene not mapped
IL-12,None,2,2,4,IL-12,None,2,2,4,activate,22226940,22226940_page2_29.jpg,No,gene not mapped
P27,hsa:3429,3,2,5,P27,hsa:3429,3,2,5,activate,22441109,22441109_page8_76.jpg,No,No
NOS,hsa:4842,0,2,2,LPS,hsa:3664,3,3,6,activate,22481432,22481432_page1_87.jpg,No,No
PKC,hsa:112476,8,7,15,LPS,hsa:3664,3,3,6,activate,22481432,22481432_page1_87.jpg,No,No
DAG,hsa:1605,4,3,7,LPS,hsa:3664,3,3,6,activate,22481432,22481432_page1_87.jpg,No,No
SMAD4,hsa:4089,1,6,7,SYTL2,hsa:54843,2,0,2,activate,22510280,22510280_page4_67.jpg,No,No
SMAD4,hsa:4089,1,6,7,SYTL2,hsa:54843,2,0,2,activate,22510280,22510280_page4_67.jpg,No,No
RASI,None,1,2,3,SOS,hsa:64132,1,10,11,activate,22551539,22551539_page3_7.jpg,No,gene not mapped
HNF4A,hsa:3172,1,6,7,BRIP1,hsa:83990,3,0,3,activate,22629454,22629454_page4_15.jpg,No,No
HNF4A,hsa:3172,1,6,7,BRIP1,hsa:83990,3,0,3,activate,22629454,22629454_page4_15.jpg,No,No
HNF4A,hsa:3172,1,6,7,BRIP1,hsa:83990,3,0,3,activate,22629454,22629454_page4_15.jpg,No,No
HNF4A,hsa:3172,1,6,7,IGSF8,hsa:93185,1,1,2,activate,22629454,22629454_page4_15.jpg,No,No
IGSF8,hsa:93185,1,1,2,HNF4A,hsa:3172,1,6,7,activate,22629454,22629454_page4_15.jpg,No,No
BRAF,hsa:673,14,15,29,GO,hsa:92344,7,2,9,activate,22678019,22678019_page3_31.jpg,No,No
KRAS,hsa:3845,5,17,22,ERIC,None,1,0,1,activate,22678019,22678019_page3_31.jpg,No,gene not mapped
EML4-ALK,None,2,8,10,GAPDH,hsa:2597,2,2,4,activate,22908099,22908099_page3_62.jpg,No,gene not mapped
GAPDH,hsa:2597,2,2,4,EML4-ALK,None,2,8,10,activate,22908099,22908099_page3_62.jpg,No,gene not mapped
P14,hsa:56259,1,3,4,PRB,None,2,1,3,activate,22959342,22959342_page1_8.jpg,No,gene not mapped
PLC-y,None,5,5,10,RAS,None,43,57,100,activate,23325296,23325296_page2_37.jpg,No,gene not mapped
PLC-y,None,5,5,10,RAS,None,43,57,100,activate,24853389,24853389_page3_10.jpg,No,gene not mapped
PLC-y,None,5,5,10,RAS,None,43,57,100,activate,24853389,24853389_page3_10.jpg,No,gene not mapped
PLC-y,None,5,5,10,RAS,None,43,57,100,activate,28795492,28795492_page1_3.jpg,No,gene not mapped
DC,hsa:1641,1,1,2,DC,hsa:1641,1,1,2,activate,23371257,23371257_page4_18.jpg,No,No
HIST2H3A,hsa:333932,0,1,1,MAPK14,hsa:1432,2,0,2,activate,23451142,23451142_page5_20.jpg,No,No
PRKCZ,hsa:5590,0,2,2,IL4R,hsa:3566,2,0,2,activate,23451142,23451142_page5_20.jpg,No,No
CD80,hsa:941,1,1,2,CD80,hsa:941,1,1,2,activate,23601304,23601304_page1_4.jpg,No,No
Pet,None,2,4,6,AND,None,3,7,10,activate,23860613,23860613_page2_36.jpg,No,gene not mapped
