starter,starter_KEGG_ID,starter_in,starter_out,starter_total,receiver,receiver_KEGG_ID,receiver_in,receiver_out,receiver_total,relation,PMID,Img,GPT_answer,KEGG_matched
AKT,hsa:207,65,58,123,ERK,hsa:2048,47,29,76,activate,21715183,21715183_page2_39.jpg,Yes,No
PKC,hsa:112476,8,7,15,PLC-y,None,5,5,10,activate,21715183,21715183_page2_39.jpg,No,gene not mapped
PLC-y,None,5,5,10,PKC,hsa:112476,8,7,15,activate,21715183,21715183_page2_39.jpg,Yes,gene not mapped
VEGFR,hsa:3791,0,1,1,PLC-y,None,5,5,10,activate,21715183,21715183_page2_39.jpg,No,gene not mapped
RAS,None,43,57,100,Raf,None,37,40,77,activate,21715183,21715183_page2_39.jpg,Yes,gene not mapped
RAS,None,43,57,100,Raf,None,37,40,77,activate,22176813,22176813_page1_24.jpg,Yes,gene not mapped
RAS,None,43,57,100,Raf,None,37,40,77,activate,22520478,22520478_page2_35.jpg,Yes,gene not mapped
RAS,None,43,57,100,Raf,None,37,40,77,activate,22739075,22739075_page2_36.jpg,Yes,gene not mapped
RAS,None,43,57,100,Raf,None,37,40,77,activate,23070242,23070242_page1_9.jpg,Yes,gene not mapped
RAS,None,43,57,100,Raf,None,37,40,77,activate,23681892,23681892_page3_48.jpg,Yes,gene not mapped
RAS,None,43,57,100,Raf,None,37,40,77,activate,24258572,24258572_page2_27.jpg,Yes,gene not mapped
RAS,None,43,57,100,Raf,None,37,40,77,activate,24355409,24355409_page3_62.jpg,Yes,gene not mapped
RAS,None,43,57,100,Raf,None,37,40,77,activate,25488861,25488861_page1_19.jpg,Yes,gene not mapped
RAS,None,43,57,100,Raf,None,37,40,77,activate,25488861,25488861_page1_19.jpg,Yes,gene not mapped
RAS,None,43,57,100,Raf,None,37,40,77,activate,25601485,25601485_page1_29.jpg,Yes,gene not mapped
RAS,None,43,57,100,Raf,None,37,40,77,activate,26182407,26182407_page2_17.jpg,Yes,gene not mapped
RAS,None,43,57,100,Raf,None,37,40,77,activate,26898616,26898616_page6_80.jpg,Yes,gene not mapped
RAS,None,43,57,100,Raf,None,37,40,77,activate,30865033,30865033_page1_6.jpg,Yes,gene not mapped
RAS,None,43,57,100,Raf,None,37,40,77,activate,31256210,31256210_page2_52.jpg,Yes,gene not mapped
RAS,None,43,57,100,Raf,None,37,40,77,activate,31387256,31387256_page2_203.jpg,Yes,gene not mapped
RAS,None,43,57,100,Raf,None,37,40,77,activate,31917616,31917616_page46_222.jpg,Yes,gene not mapped
RAS,None,43,57,100,Raf,None,37,40,77,activate,32292093,32292093_page2_174.jpg,Yes,gene not mapped
RAS,None,43,57,100,Raf,None,37,40,77,activate,32745965,32745965_page2_29.jpg,Yes,gene not mapped
RAS,None,43,57,100,Raf,None,37,40,77,activate,32750701,32750701_page2_58.jpg,Yes,gene not mapped
RAS,None,43,57,100,Raf,None,37,40,77,activate,32873398,32873398_page5_145.jpg,Yes,gene not mapped
