starter,starter_KEGG_ID,starter_in,starter_out,starter_total,receiver,receiver_KEGG_ID,receiver_in,receiver_out,receiver_total,relation,PMID,Img,GPT_answer,KEGG_matched
PTEN,hsa:5728,12,22,34,AKT,hsa:207,65,58,123,inhibit,22176813,22176813_page1_24.jpg,Yes,No
PTEN,hsa:5728,12,22,34,AKT,hsa:207,65,58,123,inhibit,23681892,23681892_page3_48.jpg,Yes,No
PTEN,hsa:5728,12,22,34,AKT,hsa:207,65,58,123,inhibit,27639426,27639426_page36_153.jpg,Yes,No
IL-12,None,2,2,4,IL-12,None,2,2,4,inhibit,22226940,22226940_page2_29.jpg,No,gene not mapped
GLI1,hsa:2735,3,3,6,GLI1,hsa:2735,3,3,6,inhibit,22262830,22262830_page11_103.jpg,No,No
CDK6,hsa:1021,0,1,1,CDK4,hsa:1019,9,2,11,inhibit,22441109,22441109_page2_62.jpg,No,No
PTEN,hsa:5728,12,22,34,P85,hsa:8874,1,0,1,inhibit,22739075,22739075_page2_36.jpg,Yes,No
P14,hsa:56259,1,3,4,MDM2,hsa:4193,1,3,4,inhibit,22959342,22959342_page1_8.jpg,Yes,No
PRB,None,2,1,3,E2F1,hsa:1869,2,1,3,inhibit,22959342,22959342_page1_8.jpg,Yes,gene not mapped
P14,hsa:56259,1,3,4,E2F1,hsa:1869,2,1,3,inhibit,22959342,22959342_page1_8.jpg,No,No
E2F1,hsa:1869,2,1,3,P14,hsa:56259,1,3,4,inhibit,22959342,22959342_page1_8.jpg,No,No
p300,hsa:2033,0,2,2,PCAF,hsa:8850,2,0,2,inhibit,22959342,22959342_page1_8.jpg,No,No
SHP1,hsa:5777,0,2,2,IRS1,hsa:3667,2,0,2,inhibit,23070242,23070242_page1_9.jpg,Yes,No
PRKCZ,hsa:5590,0,2,2,IL4R,hsa:3566,2,0,2,inhibit,23451142,23451142_page5_20.jpg,No,No
PTEN,hsa:5728,12,22,34,PI3K,hsa:5290,53,57,110,inhibit,23681892,23681892_page3_48.jpg,Yes,No
PTEN,hsa:5728,12,22,34,PI3K,hsa:5290,53,57,110,inhibit,29216787,29216787_page19_233.jpg,Yes,No
PTEN,hsa:5728,12,22,34,PI3K,hsa:5290,53,57,110,inhibit,29650275,29650275_page1_14.jpg,Yes,No
PTEN,hsa:5728,12,22,34,PI3K,hsa:5290,53,57,110,inhibit,31387181,31387181_page1_27.jpg,Yes,No
PTEN,hsa:5728,12,22,34,PI3K,hsa:5290,53,57,110,inhibit,31485605,31485605_page9_37.jpg,Yes,No
PTEN,hsa:5728,12,22,34,PI3K,hsa:5290,53,57,110,inhibit,33225619,33225619_page2_27.jpg,Yes,No
HDAC1,hsa:3065,2,1,3,AC,hsa:427,1,1,2,inhibit,23932364,23932364_page5_641.jpg,Yes,No
PTEN,hsa:5728,12,22,34,PDK1,hsa:5163,4,3,7,inhibit,24041630,24041630_page3_48.jpg,Yes,No
TF,hsa:2152,1,7,8,GENE,None,4,0,4,inhibit,24200043,24200043_page11_125.jpg,No,gene not mapped
MTORC1,None,4,6,10,AKT,hsa:207,65,58,123,inhibit,24389182,24389182_page4_13.jpg,Yes,gene not mapped
MIR195,hsa:406971,1,9,10,CCNE1,hsa:898,2,1,3,inhibit,24486218,24486218_page8_127.jpg,No,No
MIR195,hsa:406971,1,9,10,CCNE1,hsa:898,2,1,3,inhibit,24486218,24486218_page8_127.jpg,No,No
MIR195,hsa:406971,1,9,10,MYB,hsa:4602,3,1,4,inhibit,24486218,24486218_page8_127.jpg,No,No
MIR195,hsa:406971,1,9,10,MYB,hsa:4602,3,1,4,inhibit,24486218,24486218_page8_127.jpg,No,No
MIR195,hsa:406971,1,9,10,MYB,hsa:4602,3,1,4,inhibit,24486218,24486218_page8_127.jpg,No,No
MIR195,hsa:406971,1,9,10,WEE1,hsa:7465,1,1,2,inhibit,24486218,24486218_page8_127.jpg,No,No
CCNE1,hsa:898,2,1,3,CDK4,hsa:1019,9,2,11,inhibit,24486218,24486218_page8_127.jpg,No,No
MYB,hsa:4602,3,1,4,MIR195,hsa:406971,1,9,10,inhibit,24486218,24486218_page8_127.jpg,No,No
MIR195,hsa:406971,1,9,10,CDK4,hsa:1019,9,2,11,inhibit,24486218,24486218_page8_127.jpg,No,No
MIR195,hsa:406971,1,9,10,CDK4,hsa:1019,9,2,11,inhibit,24486218,24486218_page8_127.jpg,No,No
MIR195,hsa:406971,1,9,10,CDK4,hsa:1019,9,2,11,inhibit,24486218,24486218_page8_127.jpg,No,No
TSC2,hsa:7249,2,4,6,MTOR,hsa:2475,50,25,75,inhibit,24566035,24566035_page3_43.jpg,Yes,No
TSC2,hsa:7249,2,4,6,MTOR,hsa:2475,50,25,75,inhibit,33174364,33174364_page6_64.jpg,Yes,No
MYC,hsa:4609,4,2,6,RAS,None,43,57,100,inhibit,24618619,24618619_page10_39.jpg,Yes,gene not mapped
VEGF-A,hsa:7422,2,2,4,MIR126,hsa:406913,2,0,2,inhibit,25135624,25135624_page2_46.jpg,No,No
EGFR,hsa:1956,10,13,23,MIR146A,hsa:406938,1,0,1,inhibit,25135624,25135624_page2_46.jpg,No,No
Raf,None,37,40,77,ERK,hsa:2048,47,29,76,inhibit,25488861,25488861_page1_19.jpg,Yes,gene not mapped
HDAC,hsa:9734,0,2,2,SUV39H1,hsa:6839,1,0,1,inhibit,25573651,25573651_page6_22.jpg,Yes,No
CDK2,hsa:1017,2,5,7,P27KIP1,hsa:1027,2,0,2,inhibit,25573651,25573651_page6_22.jpg,Yes,No
STAT3,hsa:6774,22,23,45,STAT3,hsa:6774,22,23,45,inhibit,25597412,25597412_page7_74.jpg,No,No
PTEN,hsa:5728,12,22,34,PIP,hsa:5304,3,2,5,inhibit,25601485,25601485_page1_29.jpg,Yes,No
miR-182,hsa:406958,0,1,1,RGS17,hsa:26575,1,0,1,inhibit,25760961,25760961_page5_262.jpg,No,No
LIMK,hsa:3984,2,1,3,PAK,None,3,1,4,inhibit,25784483,25784483_page3_10.jpg,Yes,gene not mapped
RHO,hsa:6010,1,2,3,RAC,hsa:207,5,7,12,inhibit,25784483,25784483_page3_10.jpg,Yes,No
CACTIN,hsa:58509,0,2,2,CFL1,hsa:1072,2,0,2,inhibit,25784483,25784483_page3_10.jpg,No,No
ERK,hsa:2048,47,29,76,ROCK,None,3,1,4,inhibit,25784483,25784483_page3_10.jpg,No,gene not mapped
AURKA,hsa:6790,2,1,3,p53,hsa:7157,6,12,18,inhibit,26036635,26036635_page5_31.jpg,No,No
MIR32,hsa:407036,0,2,2,AURKA,hsa:6790,2,1,3,inhibit,26036635,26036635_page5_31.jpg,Yes,No
MIR32,hsa:407036,0,2,2,AURKA,hsa:6790,2,1,3,inhibit,27297636,27297636_page2_55.jpg,Yes,No
CML,hsa:613,1,1,2,UPA,hsa:5328,2,0,2,inhibit,26124189,26124189_page6_108.jpg,No,No
