starter,starter_KEGG_ID,starter_in,starter_out,starter_total,receiver,receiver_KEGG_ID,receiver_in,receiver_out,receiver_total,relation,PMID,Img,GPT_answer,KEGG_matched
PLC-y,None,5,5,10,PKC,hsa:112476,8,7,15,activate,21715183,21715183_page2_39.jpg,Yes,gene not mapped
RAS,None,43,57,100,Raf,None,37,40,77,activate,21715183,21715183_page2_39.jpg,Yes,gene not mapped
RAS,None,43,57,100,Raf,None,37,40,77,activate,22176813,22176813_page1_24.jpg,Yes,gene not mapped
RAS,None,43,57,100,Raf,None,37,40,77,activate,22520478,22520478_page2_35.jpg,Yes,gene not mapped
RAS,None,43,57,100,Raf,None,37,40,77,activate,22739075,22739075_page2_36.jpg,Yes,gene not mapped
RAS,None,43,57,100,Raf,None,37,40,77,activate,23070242,23070242_page1_9.jpg,Yes,gene not mapped
RAS,None,43,57,100,Raf,None,37,40,77,activate,23681892,23681892_page3_48.jpg,Yes,gene not mapped
RAS,None,43,57,100,Raf,None,37,40,77,activate,24258572,24258572_page2_27.jpg,Yes,gene not mapped
RAS,None,43,57,100,Raf,None,37,40,77,activate,24355409,24355409_page3_62.jpg,Yes,gene not mapped
RAS,None,43,57,100,Raf,None,37,40,77,activate,25488861,25488861_page1_19.jpg,Yes,gene not mapped
RAS,None,43,57,100,Raf,None,37,40,77,activate,25488861,25488861_page1_19.jpg,Yes,gene not mapped
RAS,None,43,57,100,Raf,None,37,40,77,activate,25601485,25601485_page1_29.jpg,Yes,gene not mapped
RAS,None,43,57,100,Raf,None,37,40,77,activate,26182407,26182407_page2_17.jpg,Yes,gene not mapped
RAS,None,43,57,100,Raf,None,37,40,77,activate,26898616,26898616_page6_80.jpg,Yes,gene not mapped
RAS,None,43,57,100,Raf,None,37,40,77,activate,30865033,30865033_page1_6.jpg,Yes,gene not mapped
RAS,None,43,57,100,Raf,None,37,40,77,activate,31256210,31256210_page2_52.jpg,Yes,gene not mapped
RAS,None,43,57,100,Raf,None,37,40,77,activate,31387256,31387256_page2_203.jpg,Yes,gene not mapped
RAS,None,43,57,100,Raf,None,37,40,77,activate,31917616,31917616_page46_222.jpg,Yes,gene not mapped
RAS,None,43,57,100,Raf,None,37,40,77,activate,32292093,32292093_page2_174.jpg,Yes,gene not mapped
RAS,None,43,57,100,Raf,None,37,40,77,activate,32745965,32745965_page2_29.jpg,Yes,gene not mapped
RAS,None,43,57,100,Raf,None,37,40,77,activate,32750701,32750701_page2_58.jpg,Yes,gene not mapped
RAS,None,43,57,100,Raf,None,37,40,77,activate,32873398,32873398_page5_145.jpg,Yes,gene not mapped
RAS,None,43,57,100,Raf,None,37,40,77,activate,33945380,33945380_page2_662.jpg,Yes,gene not mapped
Raf,None,37,40,77,MEK,hsa:5609,62,44,106,activate,21715183,21715183_page2_39.jpg,Yes,gene not mapped
Raf,None,37,40,77,MEK,hsa:5609,62,44,106,activate,22520478,22520478_page2_35.jpg,Yes,gene not mapped
Raf,None,37,40,77,MEK,hsa:5609,62,44,106,activate,22551539,22551539_page3_7.jpg,Yes,gene not mapped
Raf,None,37,40,77,MEK,hsa:5609,62,44,106,activate,22739075,22739075_page2_36.jpg,Yes,gene not mapped
Raf,None,37,40,77,MEK,hsa:5609,62,44,106,activate,23070242,23070242_page1_9.jpg,Yes,gene not mapped
Raf,None,37,40,77,MEK,hsa:5609,62,44,106,activate,23681892,23681892_page3_48.jpg,Yes,gene not mapped
Raf,None,37,40,77,MEK,hsa:5609,62,44,106,activate,24258572,24258572_page2_27.jpg,Yes,gene not mapped
Raf,None,37,40,77,MEK,hsa:5609,62,44,106,activate,25488861,25488861_page1_19.jpg,Yes,gene not mapped
Raf,None,37,40,77,MEK,hsa:5609,62,44,106,activate,25488861,25488861_page1_19.jpg,Yes,gene not mapped
Raf,None,37,40,77,MEK,hsa:5609,62,44,106,activate,25488861,25488861_page1_19.jpg,Yes,gene not mapped
Raf,None,37,40,77,MEK,hsa:5609,62,44,106,activate,25601485,25601485_page1_29.jpg,Yes,gene not mapped
Raf,None,37,40,77,MEK,hsa:5609,62,44,106,activate,26182407,26182407_page6_30.jpg,Yes,gene not mapped
Raf,None,37,40,77,MEK,hsa:5609,62,44,106,activate,26898616,26898616_page6_80.jpg,Yes,gene not mapped
Raf,None,37,40,77,MEK,hsa:5609,62,44,106,activate,26960735,26960735_page1_76.jpg,Yes,gene not mapped
Raf,None,37,40,77,MEK,hsa:5609,62,44,106,activate,28463570,28463570_page18_222.jpg,Yes,gene not mapped
Raf,None,37,40,77,MEK,hsa:5609,62,44,106,activate,29894909,29894909_page3_53.jpg,Yes,gene not mapped
Raf,None,37,40,77,MEK,hsa:5609,62,44,106,activate,31256210,31256210_page2_52.jpg,Yes,gene not mapped
Raf,None,37,40,77,MEK,hsa:5609,62,44,106,activate,31387181,31387181_page1_27.jpg,Yes,gene not mapped
Raf,None,37,40,77,MEK,hsa:5609,62,44,106,activate,31917616,31917616_page46_222.jpg,Yes,gene not mapped
Raf,None,37,40,77,MEK,hsa:5609,62,44,106,activate,32292093,32292093_page2_174.jpg,Yes,gene not mapped
Raf,None,37,40,77,MEK,hsa:5609,62,44,106,activate,32450595,32450595_page11_131.jpg,Yes,gene not mapped
Raf,None,37,40,77,MEK,hsa:5609,62,44,106,activate,32454155,32454155_page4_37.jpg,Yes,gene not mapped
Raf,None,37,40,77,MEK,hsa:5609,62,44,106,activate,32750701,32750701_page4_64.jpg,Yes,gene not mapped
Raf,None,37,40,77,MEK,hsa:5609,62,44,106,activate,32873398,32873398_page5_145.jpg,Yes,gene not mapped
Raf,None,37,40,77,MEK,hsa:5609,62,44,106,activate,34129744,34129744_page36_317.jpg,Yes,gene not mapped
Raf,None,37,40,77,MEK,hsa:5609,62,44,106,activate,34323489,34323489_page2_936.jpg,Yes,gene not mapped
VEGFB,hsa:7423,0,1,1,PIGF,hsa:5228,1,0,1,activate,21854359,21854359_page1_6.jpg,Yes,No
Raf,None,37,40,77,MAPK,None,13,15,28,activate,22176813,22176813_page1_24.jpg,Yes,gene not mapped
Raf,None,37,40,77,MAPK,None,13,15,28,activate,22257651,22257651_page2_25.jpg,Yes,gene not mapped
SOS,hsa:64132,1,10,11,RAS,None,43,57,100,activate,22257651,22257651_page2_25.jpg,Yes,gene not mapped
SOS,hsa:64132,1,10,11,RAS,None,43,57,100,activate,22739075,22739075_page2_36.jpg,Yes,gene not mapped
SOS,hsa:64132,1,10,11,RAS,None,43,57,100,activate,32328803,32328803_page2_145.jpg,Yes,gene not mapped
SOS,hsa:64132,1,10,11,RAS,None,43,57,100,activate,32745965,32745965_page2_29.jpg,Yes,gene not mapped
GLI1,hsa:2735,3,3,6,GLI1,hsa:2735,3,3,6,activate,22262830,22262830_page11_103.jpg,Yes,No
GLI1,hsa:2735,3,3,6,GLI1,hsa:2735,3,3,6,activate,22262830,22262830_page11_103.jpg,Yes,No
E2F,None,3,2,5,E2F,None,3,2,5,activate,22441109,22441109_page2_62.jpg,Yes,gene not mapped
RB,hsa:5925,3,2,5,E2F,None,3,2,5,activate,22441109,22441109_page2_62.jpg,Yes,gene not mapped
RB,hsa:5925,3,2,5,PRB,None,2,1,3,activate,22441109,22441109_page2_62.jpg,Yes,gene not mapped
CDK2,hsa:1017,2,5,7,P27,hsa:3429,3,2,5,activate,22441109,22441109_page8_76.jpg,Yes,No
PKB,hsa:207,0,1,1,AFX,hsa:4303,1,0,1,activate,22441109,22441109_page8_76.jpg,Yes,No
P27,hsa:3429,3,2,5,CDK2,hsa:1017,2,5,7,activate,22441109,22441109_page8_76.jpg,Yes,No
