starter,starter_KEGG_ID,starter_in,starter_out,starter_total,receiver,receiver_KEGG_ID,receiver_in,receiver_out,receiver_total,relation,PMID,Img,GPT_answer,KEGG_matched
PTEN,hsa:5728,12,22,34,AKT,hsa:207,65,58,123,inhibit,22176813,22176813_page1_24.jpg,Yes,No
PTEN,hsa:5728,12,22,34,AKT,hsa:207,65,58,123,inhibit,23681892,23681892_page3_48.jpg,Yes,No
PTEN,hsa:5728,12,22,34,AKT,hsa:207,65,58,123,inhibit,27639426,27639426_page36_153.jpg,Yes,No
PTEN,hsa:5728,12,22,34,P85,hsa:8874,1,0,1,inhibit,22739075,22739075_page2_36.jpg,Yes,No
P14,hsa:56259,1,3,4,MDM2,hsa:4193,1,3,4,inhibit,22959342,22959342_page1_8.jpg,Yes,No
PRB,None,2,1,3,E2F1,hsa:1869,2,1,3,inhibit,22959342,22959342_page1_8.jpg,Yes,gene not mapped
SHP1,hsa:5777,0,2,2,IRS1,hsa:3667,2,0,2,inhibit,23070242,23070242_page1_9.jpg,Yes,No
PTEN,hsa:5728,12,22,34,PI3K,hsa:5290,53,57,110,inhibit,23681892,23681892_page3_48.jpg,Yes,No
PTEN,hsa:5728,12,22,34,PI3K,hsa:5290,53,57,110,inhibit,29216787,29216787_page19_233.jpg,Yes,No
PTEN,hsa:5728,12,22,34,PI3K,hsa:5290,53,57,110,inhibit,29650275,29650275_page1_14.jpg,Yes,No
PTEN,hsa:5728,12,22,34,PI3K,hsa:5290,53,57,110,inhibit,31387181,31387181_page1_27.jpg,Yes,No
PTEN,hsa:5728,12,22,34,PI3K,hsa:5290,53,57,110,inhibit,31485605,31485605_page9_37.jpg,Yes,No
PTEN,hsa:5728,12,22,34,PI3K,hsa:5290,53,57,110,inhibit,33225619,33225619_page2_27.jpg,Yes,No
HDAC1,hsa:3065,2,1,3,AC,hsa:427,1,1,2,inhibit,23932364,23932364_page5_641.jpg,Yes,No
PTEN,hsa:5728,12,22,34,PDK1,hsa:5163,4,3,7,inhibit,24041630,24041630_page3_48.jpg,Yes,No
MTORC1,None,4,6,10,AKT,hsa:207,65,58,123,inhibit,24389182,24389182_page4_13.jpg,Yes,gene not mapped
TSC2,hsa:7249,2,4,6,MTOR,hsa:2475,50,25,75,inhibit,24566035,24566035_page3_43.jpg,Yes,No
TSC2,hsa:7249,2,4,6,MTOR,hsa:2475,50,25,75,inhibit,33174364,33174364_page6_64.jpg,Yes,No
MYC,hsa:4609,4,2,6,RAS,None,43,57,100,inhibit,24618619,24618619_page10_39.jpg,Yes,gene not mapped
Raf,None,37,40,77,ERK,hsa:5594,47,29,76,inhibit,25488861,25488861_page1_19.jpg,Yes,gene not mapped
HDAC,hsa:9734,0,2,2,SUV39H1,hsa:6839,1,0,1,inhibit,25573651,25573651_page6_22.jpg,Yes,No
CDK2,hsa:1017,2,5,7,P27KIP1,hsa:1027,2,0,2,inhibit,25573651,25573651_page6_22.jpg,Yes,No
PTEN,hsa:5728,12,22,34,PIP,hsa:5304,3,2,5,inhibit,25601485,25601485_page1_29.jpg,Yes,No
LIMK,hsa:3984,2,1,3,PAK,None,3,1,4,inhibit,25784483,25784483_page3_10.jpg,Yes,gene not mapped
RHO,hsa:6010,1,2,3,RAC,hsa:207,5,7,12,inhibit,25784483,25784483_page3_10.jpg,Yes,No
MIR32,hsa:407036,0,2,2,AURKA,hsa:6790,2,1,3,inhibit,26036635,26036635_page5_31.jpg,Yes,No
MIR32,hsa:407036,0,2,2,AURKA,hsa:6790,2,1,3,inhibit,27297636,27297636_page2_55.jpg,Yes,No
PI3K,hsa:5290,53,57,110,VEGF,hsa:7422,3,4,7,inhibit,26147006,26147006_page6_73.jpg,Yes,No
AKT,hsa:207,65,58,123,BIM,hsa:10018,7,1,8,inhibit,26182407,26182407_page2_17.jpg,Yes,No
AKT,hsa:207,65,58,123,BIM,hsa:10018,7,1,8,inhibit,27912827,27912827_page2_23.jpg,Yes,No
miR-137,hsa:406928,0,2,2,ULK2,hsa:9706,1,0,1,inhibit,27297636,27297636_page2_55.jpg,Yes,No
PD-L2,hsa:80380,0,1,1,APC,hsa:324,4,3,7,inhibit,27426430,27426430_page27_332.jpg,Yes,No
CD28,hsa:940,1,2,3,B7-1,hsa:941,1,0,1,inhibit,27426430,27426430_page27_332.jpg,Yes,No
PD-L1,hsa:29126,6,6,12,PD-1,hsa:5133,5,2,7,inhibit,27426430,27426430_page27_332.jpg,Yes,No
PD-L1,hsa:29126,6,6,12,PD-1,hsa:5133,5,2,7,inhibit,31795742,31795742_page11_292.jpg,Yes,No
PI3K,hsa:5290,53,57,110,AKT,hsa:207,65,58,123,inhibit,27897231,27897231_page8_167.jpg,Yes,No
p53,hsa:7157,6,12,18,BCL2,hsa:596,2,3,5,inhibit,27912827,27912827_page2_23.jpg,Yes,No
AKT,hsa:207,65,58,123,PTEN,hsa:5728,12,22,34,inhibit,27912827,27912827_page2_23.jpg,Yes,No
BCL-W,hsa:599,2,2,4,BAX,hsa:581,6,4,10,inhibit,28102575,28102575_page1_4.jpg,Yes,No
BCL-W,hsa:599,2,2,4,BAX,hsa:581,6,4,10,inhibit,28102575,28102575_page1_4.jpg,Yes,No
BMF,hsa:90427,0,2,2,BCL-W,hsa:599,2,2,4,inhibit,28102575,28102575_page1_4.jpg,Yes,No
BMF,hsa:90427,0,2,2,BCL-W,hsa:599,2,2,4,inhibit,28102575,28102575_page1_4.jpg,Yes,No
MTOR,hsa:2475,50,25,75,AMPK,hsa:5563,4,7,11,inhibit,28208579,28208579_page5_302.jpg,Yes,No
p53,hsa:7157,6,12,18,FIP200,hsa:9821,1,0,1,inhibit,28208579,28208579_page5_302.jpg,Yes,No
p53,hsa:7157,6,12,18,AMPK,hsa:5563,4,7,11,inhibit,28208579,28208579_page5_302.jpg,Yes,No
MTORC1,None,4,6,10,4E-BP1,hsa:1978,2,1,3,inhibit,28208579,28208579_page7_414.jpg,Yes,gene not mapped
MTORC1,None,4,6,10,ULK1,hsa:8408,4,0,4,inhibit,28208579,28208579_page7_414.jpg,Yes,gene not mapped
MTORC1,None,4,6,10,ULK1,hsa:8408,4,0,4,inhibit,29650275,29650275_page1_14.jpg,Yes,gene not mapped
AMPK,hsa:5563,4,7,11,MTORC1,None,4,6,10,inhibit,28208579,28208579_page7_414.jpg,Yes,gene not mapped
AKT,hsa:207,65,58,123,Raf,None,37,40,77,inhibit,28208579,28208579_page7_414.jpg,Yes,gene not mapped
SNAIL,hsa:6615,6,5,11,EMT,hsa:3702,10,7,17,inhibit,28412955,28412955_page10_215.jpg,Yes,No
SMAD4,hsa:4089,1,6,7,SMAD2,hsa:4087,5,1,6,inhibit,28412955,28412955_page10_215.jpg,Yes,No
PD-L1,hsa:29126,6,6,12,MHC,hsa:3107,2,4,6,inhibit,29167009,29167009_page3_11.jpg,Yes,No
