starter,starter_KEGG_ID,starter_in,starter_out,starter_total,receiver,receiver_KEGG_ID,receiver_in,receiver_out,receiver_total,relation,PMID,Img,GPT_answer,KEGG_matched
AKT,hsa:207,65,58,123,ERK,hsa:5594,47,29,76,activate,21715183,21715183_page2_39.jpg,Yes,Yes
PI3K,hsa:5290,53,57,110,AKT,hsa:207,65,58,123,activate,22176813,22176813_page1_24.jpg,Yes,Yes
PI3K,hsa:5290,53,57,110,AKT,hsa:207,65,58,123,activate,22257651,22257651_page2_25.jpg,Yes,Yes
PI3K,hsa:5290,53,57,110,AKT,hsa:207,65,58,123,activate,22481432,22481432_page1_87.jpg,Yes,Yes
PI3K,hsa:5290,53,57,110,AKT,hsa:207,65,58,123,activate,22520478,22520478_page2_35.jpg,Yes,Yes
PI3K,hsa:5290,53,57,110,AKT,hsa:207,65,58,123,activate,22551539,22551539_page3_7.jpg,Yes,Yes
PI3K,hsa:5290,53,57,110,AKT,hsa:207,65,58,123,activate,22551539,22551539_page3_7.jpg,Yes,Yes
PI3K,hsa:5290,53,57,110,AKT,hsa:207,65,58,123,activate,23325296,23325296_page2_37.jpg,Yes,Yes
PI3K,hsa:5290,53,57,110,AKT,hsa:207,65,58,123,activate,23681892,23681892_page3_48.jpg,Yes,Yes
PI3K,hsa:5290,53,57,110,AKT,hsa:207,65,58,123,activate,24091716,24091716_page29_179.jpg,Yes,Yes
PI3K,hsa:5290,53,57,110,AKT,hsa:207,65,58,123,activate,24258572,24258572_page2_27.jpg,Yes,Yes
PI3K,hsa:5290,53,57,110,AKT,hsa:207,65,58,123,activate,24355409,24355409_page3_62.jpg,Yes,Yes
PI3K,hsa:5290,53,57,110,AKT,hsa:207,65,58,123,activate,24618619,24618619_page10_39.jpg,Yes,Yes
PI3K,hsa:5290,53,57,110,AKT,hsa:207,65,58,123,activate,25557115,25557115_page3_10.jpg,Yes,Yes
PI3K,hsa:5290,53,57,110,AKT,hsa:207,65,58,123,activate,26182407,26182407_page6_30.jpg,Yes,Yes
PI3K,hsa:5290,53,57,110,AKT,hsa:207,65,58,123,activate,27770511,27770511_page1_2.jpg,Yes,Yes
PI3K,hsa:5290,53,57,110,AKT,hsa:207,65,58,123,activate,27897231,27897231_page8_167.jpg,Yes,Yes
PI3K,hsa:5290,53,57,110,AKT,hsa:207,65,58,123,activate,27897231,27897231_page8_167.jpg,Yes,Yes
PI3K,hsa:5290,53,57,110,AKT,hsa:207,65,58,123,activate,28109399,28109399_page36_658.jpg,Yes,Yes
PI3K,hsa:5290,53,57,110,AKT,hsa:207,65,58,123,activate,28795492,28795492_page1_3.jpg,Yes,Yes
PI3K,hsa:5290,53,57,110,AKT,hsa:207,65,58,123,activate,30231382,30231382_page9_107.jpg,Yes,Yes
PI3K,hsa:5290,53,57,110,AKT,hsa:207,65,58,123,activate,30865033,30865033_page1_6.jpg,Yes,Yes
PI3K,hsa:5290,53,57,110,AKT,hsa:207,65,58,123,activate,30878128,30878128_page2_19.jpg,Yes,Yes
PI3K,hsa:5290,53,57,110,AKT,hsa:207,65,58,123,activate,31010761,31010761_page2_116.jpg,Yes,Yes
PI3K,hsa:5290,53,57,110,AKT,hsa:207,65,58,123,activate,31485605,31485605_page9_37.jpg,Yes,Yes
PI3K,hsa:5290,53,57,110,AKT,hsa:207,65,58,123,activate,32454155,32454155_page4_37.jpg,Yes,Yes
PI3K,hsa:5290,53,57,110,AKT,hsa:207,65,58,123,activate,33435440,33435440_page2_101.jpg,Yes,Yes
PI3K,hsa:5290,53,57,110,AKT,hsa:207,65,58,123,activate,34323489,34323489_page2_937.jpg,Yes,Yes
AKT,hsa:207,65,58,123,MTOR,hsa:2475,50,25,75,activate,22176813,22176813_page1_24.jpg,Yes,Yes
AKT,hsa:207,65,58,123,MTOR,hsa:2475,50,25,75,activate,22520478,22520478_page2_35.jpg,Yes,Yes
AKT,hsa:207,65,58,123,MTOR,hsa:2475,50,25,75,activate,22551539,22551539_page3_7.jpg,Yes,Yes
AKT,hsa:207,65,58,123,MTOR,hsa:2475,50,25,75,activate,23070242,23070242_page1_9.jpg,Yes,Yes
AKT,hsa:207,65,58,123,MTOR,hsa:2475,50,25,75,activate,23325296,23325296_page2_37.jpg,Yes,Yes
AKT,hsa:207,65,58,123,MTOR,hsa:2475,50,25,75,activate,23681892,23681892_page3_48.jpg,Yes,Yes
AKT,hsa:207,65,58,123,MTOR,hsa:2475,50,25,75,activate,24258572,24258572_page2_27.jpg,Yes,Yes
AKT,hsa:207,65,58,123,MTOR,hsa:2475,50,25,75,activate,25601485,25601485_page1_29.jpg,Yes,Yes
AKT,hsa:207,65,58,123,MTOR,hsa:2475,50,25,75,activate,26182407,26182407_page6_30.jpg,Yes,Yes
AKT,hsa:207,65,58,123,MTOR,hsa:2475,50,25,75,activate,26898616,26898616_page6_80.jpg,Yes,Yes
AKT,hsa:207,65,58,123,MTOR,hsa:2475,50,25,75,activate,27639426,27639426_page36_153.jpg,Yes,Yes
AKT,hsa:207,65,58,123,MTOR,hsa:2475,50,25,75,activate,27770511,27770511_page1_2.jpg,Yes,Yes
AKT,hsa:207,65,58,123,MTOR,hsa:2475,50,25,75,activate,28109399,28109399_page36_658.jpg,Yes,Yes
AKT,hsa:207,65,58,123,MTOR,hsa:2475,50,25,75,activate,28463570,28463570_page18_222.jpg,Yes,Yes
AKT,hsa:207,65,58,123,MTOR,hsa:2475,50,25,75,activate,29729495,29729495_page44_89.jpg,Yes,Yes
AKT,hsa:207,65,58,123,MTOR,hsa:2475,50,25,75,activate,30231382,30231382_page9_107.jpg,Yes,Yes
AKT,hsa:207,65,58,123,MTOR,hsa:2475,50,25,75,activate,30865033,30865033_page1_6.jpg,Yes,Yes
AKT,hsa:207,65,58,123,MTOR,hsa:2475,50,25,75,activate,30878128,30878128_page2_19.jpg,Yes,Yes
AKT,hsa:207,65,58,123,MTOR,hsa:2475,50,25,75,activate,31010761,31010761_page2_116.jpg,Yes,Yes
AKT,hsa:207,65,58,123,MTOR,hsa:2475,50,25,75,activate,31387256,31387256_page2_203.jpg,Yes,Yes
AKT,hsa:207,65,58,123,MTOR,hsa:2475,50,25,75,activate,31917616,31917616_page46_222.jpg,Yes,Yes
AKT,hsa:207,65,58,123,MTOR,hsa:2475,50,25,75,activate,32454155,32454155_page4_37.jpg,Yes,Yes
AKT,hsa:207,65,58,123,MTOR,hsa:2475,50,25,75,activate,32505631,32505631_page27_166.jpg,Yes,Yes
AKT,hsa:207,65,58,123,MTOR,hsa:2475,50,25,75,activate,32505631,32505631_page27_166.jpg,Yes,Yes
AKT,hsa:207,65,58,123,MTOR,hsa:2475,50,25,75,activate,32750701,32750701_page2_58.jpg,Yes,Yes
AKT,hsa:207,65,58,123,MTOR,hsa:2475,50,25,75,activate,33435440,33435440_page2_101.jpg,Yes,Yes
AKT,hsa:207,65,58,123,MTOR,hsa:2475,50,25,75,activate,34323489,34323489_page2_936.jpg,Yes,Yes
p53,hsa:7157,6,12,18,p21,hsa:1026,4,4,8,activate,22441109,22441109_page2_62.jpg,Yes,Yes
p53,hsa:7157,6,12,18,p21,hsa:1026,4,4,8,activate,31391058,31391058_page6_108.jpg,Yes,Yes
VAV3,hsa:10451,2,1,3,CDC42,hsa:998,2,1,3,activate,23070242,23070242_page1_9.jpg,Yes,Yes
MTOR,hsa:2475,50,25,75,S6K,hsa:6198,3,2,5,activate,23325296,23325296_page2_37.jpg,Yes,Yes
MTOR,hsa:2475,50,25,75,S6K,hsa:6198,3,2,5,activate,24091716,24091716_page29_179.jpg,Yes,Yes
EGFR,hsa:1956,10,13,23,PI3K,hsa:5290,53,57,110,activate,24618619,24618619_page10_39.jpg,Yes,Yes
EGFR,hsa:1956,10,13,23,PI3K,hsa:5290,53,57,110,activate,31010761,31010761_page2_116.jpg,Yes,Yes
EGFR,hsa:1956,10,13,23,PI3K,hsa:5290,53,57,110,activate,31010761,31010761_page2_116.jpg,Yes,Yes
EGFR,hsa:1956,10,13,23,KRAS,hsa:3845,5,17,22,activate,24853389,24853389_page3_10.jpg,Yes,Yes
BRAF,hsa:673,14,15,29,MEK1,hsa:5604,5,4,9,activate,25257766,25257766_page1_24.jpg,Yes,Yes
MEK1,hsa:5604,5,4,9,ERK1,hsa:5595,9,6,15,activate,25257766,25257766_page1_24.jpg,Yes,Yes
MEK1,hsa:5604,5,4,9,ERK1,hsa:5595,9,6,15,activate,32954834,32954834_page83_711.jpg,Yes,Yes
RAF1,hsa:5894,0,1,1,MEK1,hsa:5604,5,4,9,activate,25257766,25257766_page1_24.jpg,Yes,Yes
MEKK,hsa:4214,1,1,2,JNK,hsa:5599,7,1,8,activate,25535693,25535693_page43_1683.jpg,Yes,Yes
RAL,hsa:5898,0,2,2,RALBP1,hsa:10928,1,0,1,activate,25557115,25557115_page3_10.jpg,Yes,Yes
CDK2,hsa:1017,2,5,7,RB,hsa:5925,3,2,5,activate,25573651,25573651_page6_22.jpg,Yes,Yes
PI3K,hsa:5290,53,57,110,MTOR,hsa:2475,50,25,75,activate,26802023,26802023_page2_7.jpg,Yes,Yes
PI3K,hsa:5290,53,57,110,MTOR,hsa:2475,50,25,75,activate,26802023,26802023_page5_22.jpg,Yes,Yes
PI3K,hsa:5290,53,57,110,MTOR,hsa:2475,50,25,75,activate,26802023,26802023_page5_24.jpg,Yes,Yes
MEK1,hsa:5604,5,4,9,ERK,hsa:5594,47,29,76,activate,26893312,26893312_page7_41.jpg,Yes,Yes
KRAS,hsa:3845,5,17,22,BRAF,hsa:673,14,15,29,activate,28109399,28109399_page36_658.jpg,Yes,Yes
EGF,hsa:1950,0,1,1,EGFR,hsa:1956,10,13,23,activate,28727543,28727543_page7_41.jpg,Yes,Yes
CD40,hsa:958,0,1,1,NIK,hsa:9020,4,0,4,activate,29588475,29588475_page2_90.jpg,Yes,Yes
CHK2,hsa:11200,0,1,1,p53,hsa:7157,6,12,18,activate,29650275,29650275_page1_14.jpg,Yes,Yes
