PMID,StartID,Relation,ReceptorID
21293176,P27KIP,activate_relation,G2
21645460,IN,activate_relation,NF-KB
21645460,CDK2,activate_relation,CDK4
21645460,ARE,activate_relation,CDK2
22176813,PI3K,activate_relation,AKT
22176813,AKT,activate_relation,MTOR
22176813,RAS,activate_relation,Raf
22176813,Raf,activate_relation,MAPK
22176813,PTEN,activate_relation,AKT
22481432,NOS,activate_relation,LPS
22481432,PKC,activate_relation,DAG
22481432,DAG,activate_relation,PKC
22481432,PKC,activate_relation,LPS
22481432,PI3K,activate_relation,AKT
22481432,DAG,activate_relation,LPS
22481432,LPS,activate_relation,DAG
22481432,LPS,activate_relation,DAG
22481432,MAPK,activate_relation,RAS
22481432,NOS,activate_relation,PKC
22481432,SHC,activate_relation,RAS
22481432,FAK,activate_relation,PAXILLIN
22481432,LPS,activate_relation,DAG
22489192,AK,activate_relation,EGFR
22776234,PI3K,activate_relation,GEF
22776234,Raf,activate_relation,RALGDS
22776234,GAP,activate_relation,GEF
22776234,RAL,activate_relation,PLD
22776234,MEK,activate_relation,ERK
22776234,PDK1,activate_relation,AKT
22776234,Raf,activate_relation,MEK
22776234,SHP2,activate_relation,GEF
22776234,PI3K,activate_relation,PDK1
22776234,TIAM1,activate_relation,RAC
22776234,RALGDS,activate_relation,RAL
23109866,ERK,activate_relation,MEK
23109866,AKT,activate_relation,MTOR
23109866,MEK,activate_relation,ERK
23109866,Raf,activate_relation,MEK
23109866,PI3K,activate_relation,AKT
23109866,RAS,activate_relation,Raf
23109866,PI3K,activate_relation,JAK
23109866,JAK,activate_relation,PI3K
23109866,JAK,activate_relation,STAT
23322021,IKK-alpha,activate_relation,IKK-beta
23345546,MAPK,activate_relation,MEK
23345546,SOS,activate_relation,FAK
23345546,PI3K,activate_relation,AKT
23345546,PI3K,activate_relation,FAK
23345546,RAS,activate_relation,RAC1
23345546,RAS,activate_relation,SOS
23345546,AKT,activate_relation,P85
23345546,AKT,activate_relation,P85
23345546,P85,activate_relation,EGFR
23345546,P85,activate_relation,EGFR
23382783,CXCR4,activate_relation,CXCL12
23382783,CXCR4,activate_relation,CCR6
23382783,CCR6,activate_relation,CCL20
23393121,Bcl-2,activate_relation,NF-KB
23393121,CD28,activate_relation,Bcl-2
23708071,LPC,activate_relation,AKT
23708071,PC,activate_relation,LPC
23708071,PC,activate_relation,LPC
23708071,LPC,activate_relation,ERK
23708071,LPA1,activate_relation,ATX
23708071,LPC,activate_relation,cPLA2
23708071,AKT,activate_relation,PLC-y
23708071,MEK,activate_relation,MAPK
23708071,PIP2,activate_relation,DAG
23708071,PLC-y,activate_relation,PIP2
23708071,AKT,activate_relation,MTOR
23708071,RAS,activate_relation,Raf
23708071,Raf,activate_relation,MEK
23708071,DAG,activate_relation,AKT
23708071,AKT,activate_relation,BAD
23877481,EP,activate_relation,EGF
23877481,EGF,activate_relation,EP
23885909,PI3K,activate_relation,AKT
23885909,MAPK,activate_relation,Raf
23885909,MTOR,activate_relation,AKT
23885909,Raf,activate_relation,RAS
23885909,Raf,activate_relation,MAPK
23909719,ROS,activate_relation,ERK1
23909719,ERK1,activate_relation,GSK3B
23909719,ROS,activate_relation,ERK1
23909719,TGFB,activate_relation,SMAD3
23912485,CAMP,activate_relation,GAS
23912485,VEGF,activate_relation,CAMP
24076266,CSL,activate_relation,p21
24165275,CDK1,activate_relation,SUZ12
24165275,EZH2,activate_relation,SUZ12
24229629,SOS,activate_relation,RAS
24229629,GRB2,activate_relation,PI3K
24229629,PI3K,activate_relation,AKT
24258572,MTOR,activate_relation,AKT
24258572,STAT3,activate_relation,VAV3
