gene,kegg_id,alia
GALM,hsa:130589,BLOCK25
GALM,hsa:130589,GALAC4
GALM,hsa:130589,GLAT
GALM,hsa:130589,HEL-S-63p
GALM,hsa:130589,IBD1
GALM,hsa:130589,galactose mutarotase
HK1,hsa:3098,HK
HK1,hsa:3098,HK1-ta
HK1,hsa:3098,HK1-tb
HK1,hsa:3098,HK1-tc
HK1,hsa:3098,HKD
HK1,hsa:3098,HKI
HK1,hsa:3098,HMSNR
HK1,hsa:3098,HXK1
HK1,hsa:3098,NEDVIBA
HK1,hsa:3098,RP79
HK1,hsa:3098,hexokinase
HK1,hsa:3098,hexokinase 1
GCK,hsa:2645,FGQTL3
GCK,hsa:2645,GK
GCK,hsa:2645,GLK
GCK,hsa:2645,HHF3
GCK,hsa:2645,HK4
GCK,hsa:2645,HKIV
GCK,hsa:2645,HXKP
GCK,hsa:2645,LGLK
GCK,hsa:2645,MODY2
GCK,hsa:2645,PNDM1
GCK,hsa:2645,glucokinase
HK2,hsa:3099,HKII
HK2,hsa:3099,HXK2
HK2,hsa:3099,hexokinase 2
HK3,hsa:3101,HKIII
HK3,hsa:3101,HXK3
HK3,hsa:3101,hexokinase 3
HKDC1,hsa:80201,RP92
HKDC1,hsa:80201,hexokinase domain containing 1
GPI,hsa:2821,AMF
GPI,hsa:2821,GNPI
GPI,hsa:2821,NLK
GPI,hsa:2821,PGI
GPI,hsa:2821,PHI
GPI,hsa:2821,SA-36
GPI,hsa:2821,SA36
GPI,hsa:2821,glucose-6-phosphate isomerase
PGM1,hsa:5236,CDG1T
PGM1,hsa:5236,GSD14
PGM1,hsa:5236,phosphoglucomutase 1
G6PC1,hsa:2538,G6PC
G6PC1,hsa:2538,G6PT
G6PC1,hsa:2538,G6Pase
G6PC1,hsa:2538,GSD1
G6PC1,hsa:2538,GSD1a
G6PC1,hsa:2538,glucose-6-phosphatase catalytic subunit 1
PGM2,hsa:55276,MSTP006
PGM2,hsa:55276,phosphoglucomutase 2
FBP1,hsa:2203,FBP
FBP1,hsa:2203,fructose-bisphosphatase 1
PFKL,hsa:5211,ATP-PFK
PFKL,hsa:5211,PFK-B
PFKL,hsa:5211,PFK-L
PFKL,hsa:5211,phosphofructokinase
PFKL,hsa:5211,liver type
PFKM,hsa:5213,ATP-PFK
PFKM,hsa:5213,GSD7
PFKM,hsa:5213,PFK-1
PFKM,hsa:5213,PFK-A
PFKM,hsa:5213,PFK1
PFKM,hsa:5213,PFKA
PFKM,hsa:5213,PFKX
PFKM,hsa:5213,PPP1R122
PFKM,hsa:5213,phosphofructokinase
PFKM,hsa:5213,muscle
PFKP,hsa:5214,ATP-PFK
PFKP,hsa:5214,PFK-C
PFKP,hsa:5214,PFK-P
PFKP,hsa:5214,PFKF
PFKP,hsa:5214,phosphofructokinase
PFKP,hsa:5214,platelet
ALDOA,hsa:226,ALDA
ALDOA,hsa:226,GSD12
ALDOA,hsa:226,HEL-S-87p
ALDOA,hsa:226,aldolase
ALDOA,hsa:226,fructose-bisphosphate A
ALDOB,hsa:229,ALDB
ALDOB,hsa:229,ALDO2
ALDOB,hsa:229,aldolase
ALDOB,hsa:229,fructose-bisphosphate B
ALDOC,hsa:230,ALDC
ALDOC,hsa:230,aldolase
ALDOC,hsa:230,fructose-bisphosphate C
TPI1,hsa:7167,HEL-S-49
TPI1,hsa:7167,TIM
TPI1,hsa:7167,TPI
TPI1,hsa:7167,TPID
TPI1,hsa:7167,triosephosphate isomerase 1
GAPDH,hsa:2597,G3PD
GAPDH,hsa:2597,GAPD
GAPDH,hsa:2597,HEL-S-162eP
GAPDH,hsa:2597,glyceraldehyde-3-phosphate dehydrogenase
PGK1,hsa:5230,HEL-S-68p
PGK1,hsa:5230,MIG10
PGK1,hsa:5230,PGKA
PGK1,hsa:5230,phosphoglycerate kinase 1
GAPDHS,hsa:26330,GAPD2
GAPDHS,hsa:26330,GAPDH-2
GAPDHS,hsa:26330,GAPDS
GAPDHS,hsa:26330,HEL-S-278
GAPDHS,hsa:26330,HSD-35
GAPDHS,hsa:26330,glyceraldehyde-3-phosphate dehydrogenase
GAPDHS,hsa:26330,spermatogenic
PGAM4,hsa:441531,PGAM-B
PGAM4,hsa:441531,PGAM1
PGAM4,hsa:441531,PGAM3
PGAM4,hsa:441531,dJ1000K24.1
PGAM4,hsa:441531,phosphoglycerate mutase family member 4
PGAM1,hsa:5223,HEL-S-35
PGAM1,hsa:5223,PGAM-B
PGAM1,hsa:5223,PGAMA
PGAM1,hsa:5223,phosphoglycerate mutase 1
