gene,kegg_id,alia
"Phosphatidylinositol-3,4,5-trisphosphate",cpd:C05981,"1-Phosphatidyl-1D-myo-inositol 3,4,5-trisphosphate"
"3',5'-Cyclic AMP",cpd:C00575,Cyclic adenylic acid
"3',5'-Cyclic AMP",cpd:C00575,Cyclic AMP
"3',5'-Cyclic AMP",cpd:C00575,"Adenosine 3',5'-phosphate"
"3',5'-Cyclic AMP",cpd:C00575,"Adenosine 3',5'-cyclic phosphate"
"3',5'-Cyclic AMP",cpd:C00575,cAMP
Leukotriene B4,cpd:C02165,"(6Z,8E,10E,14Z)-(5S,12R)-5,12-Dihydroxyeicosa-6,8,10,14-tetraenoate"
Leukotriene B4,cpd:C02165,"(6Z,8E,10E,14Z)-(5S,12R)-5,12-Dihydroxyicosa-6,8,10,14-tetraenoate"
Leukotriene B4,cpd:C02165,LTB4
8(S)-HETE,cpd:C14776,"(5Z,9E,11Z,14Z)-(8S)-8-Hydroxyeicosa-5,9,11,14-tetraenoic acid"
9(S)-HODE,cpd:C14767,(9S)-Hydroxyoctadecadienoic acid
13(S)-HODE,cpd:C14762,(13S)-Hydroxyoctadecadienoic acid
"D-myo-Inositol 1,4,5-trisphosphate",cpd:C01245,"1D-myo-Inositol 1,4,5-trisphosphate"
"D-myo-Inositol 1,4,5-trisphosphate",cpd:C01245,"Inositol 1,4,5-trisphosphate"
"3',5'-Cyclic GMP",cpd:C00942,"Guanosine 3',5'-cyclic monophosphate"
"3',5'-Cyclic GMP",cpd:C00942,"Guanosine 3',5'-cyclic phosphate"
"3',5'-Cyclic GMP",cpd:C00942,Cyclic GMP
"3',5'-Cyclic GMP",cpd:C00942,cGMP
Prostaglandin I2,cpd:C01312,"(5Z,13E)-(15S)-6,9alpha-Epoxy-11alpha,15-dihydroxyprosta-5,13-dienoate"
Prostaglandin I2,cpd:C01312,Prostacyclin
Prostaglandin I2,cpd:C01312,PGI2
Prostaglandin I2,cpd:C01312,Epoprostenol
L-Adrenaline,cpd:C00788,(R)-(-)-Adrenaline
L-Adrenaline,cpd:C00788,(R)-(-)-Epinephrine
L-Adrenaline,cpd:C00788,(R)-(-)-Epirenamine
L-Adrenaline,cpd:C00788,(R)-(-)-Adnephrine
L-Noradrenaline,cpd:C00547,Noradrenaline
L-Noradrenaline,cpd:C00547,Norepinephrine
L-Noradrenaline,cpd:C00547,Arterenol
Dopamine,cpd:C03758,"4-(2-Aminoethyl)-1,2-benzenediol"
Dopamine,cpd:C03758,"4-(2-Aminoethyl)benzene-1,2-diol"
Dopamine,cpd:C03758,"3,4-Dihydroxyphenethylamine"
Prostaglandin E2,cpd:C00584,"(5Z,13E)-(15S)-11alpha,15-Dihydroxy-9-oxoprosta-5,13-dienoate"
Prostaglandin E2,cpd:C00584,Dinoprostone
Prostaglandin E2,cpd:C00584,PGE2
Phosphatidate,cpd:C00416,Phosphatidic acid
Phosphatidate,cpd:C00416,"1,2-Diacyl-sn-glycerol 3-phosphate"
Phosphatidate,cpd:C00416,3-sn-Phosphatidate
"1-Phosphatidyl-D-myo-inositol 4,5-bisphosphate",cpd:C04637,"1-Phosphatidyl-1D-myo-inositol 4,5-bisphosphate"
"1-Phosphatidyl-D-myo-inositol 4,5-bisphosphate",cpd:C04637,"Phosphatidyl-myo-inositol 4,5-bisphosphate"
"1-Phosphatidyl-D-myo-inositol 4,5-bisphosphate",cpd:C04637,"Phosphatidylinositol-4,5-bisphosphate"
Prostaglandin F2alpha,cpd:C00639,"(5Z,13E)-(15S)-9alpha,11alpha,15-Trihydroxyprosta-5,13-dienoate"
Prostaglandin F2alpha,cpd:C00639,(+)-Prostaglandin F2a
Prostaglandin F2alpha,cpd:C00639,"7-[3,5-Dihydroxy-2-(3-hydroxy-1-octenyl)cyclopentyl]-5-heptenoic acid"
Prostaglandin F2alpha,cpd:C00639,"9a,11a-PGF2"
Prostaglandin F2alpha,cpd:C00639,Amoglandin
Prostaglandin F2alpha,cpd:C00639,Cyclosin
Prostaglandin F2alpha,cpd:C00639,Dinoprost
Prostaglandin F2alpha,cpd:C00639,Enzaprost
Prostaglandin F2alpha,cpd:C00639,Enzaprost F
Prostaglandin F2alpha,cpd:C00639,Panacelan
Prostaglandin F2alpha,cpd:C00639,PGF2a
Prostaglandin F2alpha,cpd:C00639,"9,11,15-Trihydroxy-(5Z,9a,11a,13E,15S)-prosta-5,13-dien-1-oic acid"
Prostaglandin F2alpha,cpd:C00639,Prostaglandin F2a
Prostaglandin F2alpha,cpd:C00639,Prostin F 2 alpha
Prostaglandin F2alpha,cpd:C00639,Protamodin
Prostaglandin F2alpha,cpd:C00639,U 14583
Lipoxin A4,cpd:C06314,LXA4
Lipoxin A4,cpd:C06314,"5S,6R,15S-Trihydroxy-7E,9E,11Z,13E-eicosatetraenoic acid"
Prostaglandin D2,cpd:C00696,"(5Z,13E)-(15S)-9alpha,15-Dihydroxy-11-oxoprosta-5,13-dienoate"
Prostaglandin D2,cpd:C00696,"(5Z,13E,15S)-9alpha,15-Dihydroxy-11-oxoprosta-5,13-dienoate"
Prostaglandin D2,cpd:C00696,PGD2
Thromboxane A2,cpd:C02198,"(5Z,13E)-(15S)-9alpha,11alpha-Epoxy-15-hydroxythromboxa-5,13-dienoate"
Thromboxane A2,cpd:C02198,"(5Z,9alpha,11alpha,13E,15S)-9,11-Epoxy-15-hydroxythromboxa-5,13-dien-1-oic acid"
Thromboxane A2,cpd:C02198,TXA2
Anandamide,cpd:C11695,Arachidonylethanolamide
Anandamide,cpd:C11695,"N-(5Z,8Z,11Z,14Z-Eicosatetraenoyl)-ethanolamine"
Anandamide,cpd:C11695,AEA
Leukotriene E4,cpd:C05952,LTE4
Leukotriene E4,cpd:C05952,"(7E,9E,11Z,14Z)-(5S,6R)-6-(Cystein-S-yl)-5-hydroxyeicosa-7,9,11,14-tetraenoate"
N-Arachidonyl dopamine,cpd:C12271,Arachidonoyl dopamine
N-Arachidonyl dopamine,cpd:C12271,NADA
Cortisol,cpd:C00735,Hydrocortisone
Cortisol,cpd:C00735,"11beta,17alpha,21-Trihydroxy-4-pregnene-3,20-dione"
Cortisol,cpd:C00735,Kendall's compound F
Cortisol,cpd:C00735,Reichstein's substance M
Triiodothyronine,cpd:C02465,"3,3',5-Triiodo-L-thyronine"
Triiodothyronine,cpd:C02465,"L-3,5,3'-Triiodothyronine"
Triiodothyronine,cpd:C02465,"3,5,3'-Triiodothyronine"
Triiodothyronine,cpd:C02465,Liothyronine
Triiodothyronine,cpd:C02465,"3,5,3'-Triiodo-L-thyronine"
Triiodothyronine,cpd:C02465,T3
Thyroxine,cpd:C01829,Levothyroxin
Thyroxine,cpd:C01829,L-Thyroxine
Thyroxine,cpd:C01829,"O-(4-Hydroxy-3,5-diidophenyl)-3,5-diiodo-L-tyrosine"
Thyroxine,cpd:C01829,"3,5,3'5'-Tetraiodo-L-thyronine"
Thyroxine,cpd:C01829,T4
1-Phosphatidyl-D-myo-inositol,cpd:C01194,1-Phosphatidyl-1D-myo-inositol
1-Phosphatidyl-D-myo-inositol,cpd:C01194,1-Phosphatidyl-myo-inositol
1-Phosphatidyl-D-myo-inositol,cpd:C01194,Phosphatidyl-1D-myo-inositol
1-Phosphatidyl-D-myo-inositol,cpd:C01194,(3-Phosphatidyl)-1-D-inositol
1-Phosphatidyl-D-myo-inositol,cpd:C01194,"1,2-Diacyl-sn-glycero-3-phosphoinositol"
1-Phosphatidyl-D-myo-inositol,cpd:C01194,Phosphatidylinositol
Resveratrol,cpd:C03582,"3,4',5-Trihydroxystilbene"
Resveratrol,cpd:C03582,trans-Resveratrol
Arachidonate,cpd:C00219,Arachidonic acid
Arachidonate,cpd:C00219,"(5Z,8Z,11Z,14Z)-Icosatetraenoic acid"
Arachidonate,cpd:C00219,"cis-5,8,11,14-Eicosatetraenoic acid"
Arachidonate,cpd:C00219,"5Z,8Z,11Z,14Z-Eicosatetraenoic acid"
