~start_node_labels,~start_node_property_name,~relationship_type,~end_node_labels,~end_node_property_name,count
GENE,ALK,ACTIVATION,GENE,KRAS,3
GENE,ALK,ACTIVATION,GENE,PIK3CA,4
GENE,ALK,PHOSPHORYLATION,GENE,PIK3CA,3
GENE,BRAF,PHOSPHORYLATION,GENE,MEK,3
GENE,EGFR,ACTIVATION,GENE,BRAF,3
GENE,EGFR,ACTIVATION,GENE,KRAS,8
GENE,EGFR,ACTIVATION,GENE,PIK3CA,6
GENE,EGFR,BINDING_ASSOCIATION,GENE,EGFR,3
GENE,EGFR,PHOSPHORYLATION,GENE,BRAF,3
GENE,EGFR,PHOSPHORYLATION,GENE,EGFR,4
GENE,EGFR,PHOSPHORYLATION,GENE,PIK3CA,4
GENE,HER2,ACTIVATION,GENE,PIK3CA,3
GENE,KRAS,ACTIVATION,GENE,BRAF,8
GENE,KRAS,ACTIVATION,GENE,PIK3CA,4
GENE,KRAS,BINDING_ASSOCIATION,GENE,KRAS,3
GENE,KRAS,MUTATION,GENE,KRAS,3
GENE,MET,ACTIVATION,GENE,KRAS,4
GENE,MET,ACTIVATION,GENE,PIK3CA,6
GENE,MET,PHOSPHORYLATION,GENE,PIK3CA,3
GENE,PIK3CA,BINDING_ASSOCIATION,GENE,PIK3CA,3
GENE,RET,ACTIVATION,GENE,PIK3CA,3
GENE,RET,PHOSPHORYLATION,GENE,PIK3CA,3
GENE,ROS1,ACTIVATION,GENE,KRAS,3
GENE,ROS1,ACTIVATION,GENE,PIK3CA,3
GENE,TP53,PHOSPHORYLATION,GENE,TP53,3
GENE,TP53,UBIQUITINATION,GENE,TP53,3
