~start_node_labels,~start_node_property_name,~relationship_type,~end_node_labels,~end_node_property_name,count
GENE,AKT1,PHOSPHORYLATION,GENE,AKT1,2
GENE,ALK,ACTIVATION,GENE,KRAS,3
GENE,ALK,ACTIVATION,GENE,PIK3CA,4
GENE,ALK,PHOSPHORYLATION,GENE,PIK3CA,3
GENE,BRAF,PHOSPHORYLATION,GENE,BRAF,2
GENE,BRAF,PHOSPHORYLATION,GENE,MEK,3
GENE,EGFR,ACTIVATION,GENE,BRAF,3
GENE,EGFR,ACTIVATION,GENE,KRAS,8
GENE,EGFR,ACTIVATION,GENE,PIK3CA,6
GENE,EGFR,BINDING_ASSOCIATION,GENE,EGFR,3
GENE,EGFR,MUTATION,GENE,EGFR,2
GENE,EGFR,PHOSPHORYLATION,GENE,BRAF,3
GENE,EGFR,PHOSPHORYLATION,GENE,EGFR,4
GENE,EGFR,PHOSPHORYLATION,GENE,PIK3CA,4
GENE,ERBB2,MUTATION,GENE,ERBB2,2
GENE,HER2,ACTIVATION,GENE,KRAS,2
GENE,HER2,ACTIVATION,GENE,PIK3CA,3
GENE,HER2,PHOSPHORYLATION,GENE,PIK3CA,2
GENE,KRAS,ACTIVATION,GENE,BRAF,8
GENE,KRAS,ACTIVATION,GENE,PIK3CA,4
GENE,KRAS,BINDING_ASSOCIATION,GENE,BRAF,2
GENE,KRAS,BINDING_ASSOCIATION,GENE,KRAS,3
GENE,KRAS,MUTATION,GENE,KRAS,3
GENE,KRAS,PHOSPHORYLATION,GENE,BRAF,2
GENE,KRAS,PHOSPHORYLATION,GENE,PIK3CA,2
GENE,MAPK1,PHOSPHORYLATION,GENE,MAPK1,2
GENE,MET,ACTIVATION,GENE,KRAS,4
GENE,MET,ACTIVATION,GENE,PIK3CA,6
GENE,MET,BINDING_ASSOCIATION,GENE,MET,2
GENE,MET,PHOSPHORYLATION,GENE,PIK3CA,3
GENE,NRAS,MUTATION,GENE,NRAS,2
GENE,PIK3CA,ACTIVATION,GENE,AKT1,2
GENE,PIK3CA,BINDING_ASSOCIATION,GENE,PIK3CA,3
GENE,PIK3CA,MUTATION,GENE,PIK3CA,2
GENE,PTEN,DEPHOSPHORYLATION,GENE,PIK3CA,2
GENE,RET,ACTIVATION,GENE,PIK3CA,3
GENE,RET,BINDING_ASSOCIATION,GENE,RET,2
GENE,RET,PHOSPHORYLATION,GENE,PIK3CA,3
GENE,ROS1,ACTIVATION,GENE,KRAS,3
GENE,ROS1,ACTIVATION,GENE,PIK3CA,3
GENE,ROS1,PHOSPHORYLATION,GENE,PIK3CA,2
GENE,TP53,ACETYLATION,GENE,TP53,2
GENE,TP53,METHYLATION,GENE,TP53,2
GENE,TP53,MUTATION,GENE,TP53,2
GENE,TP53,PHOSPHORYLATION,GENE,TP53,3
GENE,TP53,UBIQUITINATION,GENE,TP53,3
