PMID,StartID,Relation,ReceptorID
22176813,PTEN,inhibit_relation,AKT
23109866,RAS,inhibit_relation,Raf
23393121,SHP2,inhibit_relation,AP-2
23708071,LPC,inhibit_relation,LPA
23885909,PTEN,inhibit_relation,AKT
23909719,NRF-2,inhibit_relation,SMAD4
23909719,SMAD4,inhibit_relation,NRF-2
25101240,AKT,inhibit_relation,BAD
25101240,BAD,inhibit_relation,FOXO3A
25101240,FOS,inhibit_relation,p21
25101240,FOXO3A,inhibit_relation,BAD
25189716,PD-1,inhibit_relation,MHC
25505733,AKT,inhibit_relation,PI3K
25806230,RAS,inhibit_relation,c-src
25806230,c-src,inhibit_relation,RAS
25806231,BRCC36,inhibit_relation,RAP80
25806231,BARD1,inhibit_relation,BRCA1
25806231,OTUB1,inhibit_relation,MMS2
25806231,BARD1,inhibit_relation,53BP1
25806231,53BP1,inhibit_relation,CtIP
25806290,PTEN,inhibit_relation,PI3K
25806290,AMPK,inhibit_relation,IGF-1
26207212,CBL,inhibit_relation,HGF
26371045,JAK,inhibit_relation,AKT
26558876,CD28,inhibit_relation,B7
26578706,Raf,inhibit_relation,PI3K
26578706,ERK,inhibit_relation,MEK
26579470,AKT,inhibit_relation,BAD
26579470,DAG,inhibit_relation,PKC
26579470,AKT,inhibit_relation,BIM
26579470,PTEN,inhibit_relation,PI3K
26579470,MCL,inhibit_relation,BAK
26579470,BIM,inhibit_relation,Bcl-2
26579470,PTEN,inhibit_relation,PI3K
26579470,BIM,inhibit_relation,p53
26629421,CTLA-4,inhibit_relation,PD-1
26793003,TSC1,inhibit_relation,MTORC1
26793003,MORC2,inhibit_relation,PI3K
26793003,GRB2,inhibit_relation,RAS
26793003,TSC1,inhibit_relation,4E-BP1
26891293,MIR520H,inhibit_relation,EY-CADHERIN
26891293,MIR150,inhibit_relation,SRCIN
26891293,SRCIN,inhibit_relation,SRC
26891293,PI3K,inhibit_relation,RAS
26891293,MIR-21,inhibit_relation,AKT
26891293,AKT,inhibit_relation,p53
26891293,EGFR,inhibit_relation,RAS
26893312,MEK1,inhibit_relation,ERK
27676292,SLUG,inhibit_relation,EY-CADHERIN
27843640,MEK1,inhibit_relation,MAPK
27938382,MHC,inhibit_relation,PD-L1
27938382,B7,inhibit_relation,MHC
27938382,MHC,inhibit_relation,PD-L1
27938382,B7,inhibit_relation,MHC
27994551,AKT,inhibit_relation,p21
27994551,PTEN,inhibit_relation,PI3K
27994551,AKT,inhibit_relation,p21
28066768,FGFR,inhibit_relation,PDGF
28066768,VEGF,inhibit_relation,VEGFR
28208579,MTOR,inhibit_relation,AMPK
28208579,p53,inhibit_relation,FIP200
28208579,p53,inhibit_relation,AMPK
28208579,AMPK,inhibit_relation,MTOR
28208579,MTORC1,inhibit_relation,4E-BP1
28208579,MTORC1,inhibit_relation,ULK1
28208579,TSC1,inhibit_relation,RHEB
28208579,AKT,inhibit_relation,TSC1
28208579,AMPK,inhibit_relation,MTORC1
28208579,AKT,inhibit_relation,Raf
28261342,CELL,inhibit_relation,PD-1
28396848,CDK,inhibit_relation,RB1
28396848,p16,inhibit_relation,E2F
28396848,EGFR,inhibit_relation,RAS
28415568,SRC,inhibit_relation,MIR452
28415568,MIR129,inhibit_relation,MCRS1
28415568,MIR134,inhibit_relation,MIR149
28415568,MIR134,inhibit_relation,SNAIL
28443282,PTEN,inhibit_relation,PI3K
28443282,MDM2,inhibit_relation,p53
28570035,BCAA,inhibit_relation,BCAT
28915708,AMPK,inhibit_relation,PI3K
28915708,SREBP-1c,inhibit_relation,p21
28915708,TSC2,inhibit_relation,RHEB
28915708,TSC1,inhibit_relation,TSC2
28915708,AKT,inhibit_relation,TSC1
28915708,RHEB,inhibit_relation,TSC1
28915708,AMPK,inhibit_relation,ATM
28915708,TSC1,inhibit_relation,PI3K
28915708,TSC1,inhibit_relation,RHEB
28948139,PALP,inhibit_relation,RANKL
28990243,MIR,inhibit_relation,BIM
28990243,ITGB1,inhibit_relation,MIR134
28990243,MIR134,inhibit_relation,VIM
28990243,ITGB1,inhibit_relation,MIR30C
28990243,MIR124,inhibit_relation,SLUG
29151973,MIR181A,inhibit_relation,BAX
29151973,MIFR-1,inhibit_relation,SDF-1b
29151973,MIR26A,inhibit_relation,HMGA2
29151973,miR-217,inhibit_relation,KRAS
29151973,MIR34A,inhibit_relation,PEBP4
29151973,MIR-21,inhibit_relation,BAX
29151973,MIR497,inhibit_relation,Bcl-2
29151973,MIR138,inhibit_relation,CCND3
29151973,BAX,inhibit_relation,Bcl-2
29151973,Bcl-2,inhibit_relation,BAX
29151973,MIR15B,inhibit_relation,EMT
29151973,MIR181A,inhibit_relation,PTEN
29167009,PD-L1,inhibit_relation,MHC
29415985,USP28,inhibit_relation,FBW7
29464099,TBK,inhibit_relation,NFKBIA
29464099,AMPK,inhibit_relation,MTOR
29464099,IKB,inhibit_relation,NFKBIA
29464099,FAK,inhibit_relation,AKT
29515799,IL-10,inhibit_relation,IDO
29515799,IDO,inhibit_relation,a2V
29556324,TSC2,inhibit_relation,MTOR
29556324,RAS,inhibit_relation,TSC1
29556324,AKT,inhibit_relation,TSC2
29556324,PTEN,inhibit_relation,AKT
29556324,MIR-10,inhibit_relation,raptor
29556324,MIR153,inhibit_relation,RICTOR
29556324,MIR-21,inhibit_relation,RICTOR
29600083,ERP,inhibit_relation,TKIS
29600083,TKIS,inhibit_relation,ERP
29600083,ARO,inhibit_relation,E2
29725260,MIR200C,inhibit_relation,ZEB1
29725260,MIR200C,inhibit_relation,ZEB1
29725260,MIR200C,inhibit_relation,EGF
29725260,SOCS1,inhibit_relation,SENP1
29725260,MIR223,inhibit_relation,AKT
29725260,MIR138,inhibit_relation,SENP1
29725260,MIR155,inhibit_relation,PTEN
29725260,MIR143,inhibit_relation,EGFR
29725260,APAF-1,inhibit_relation,MTOR
29725260,PTEN,inhibit_relation,AKT
29725260,PTEN,inhibit_relation,MIR21
29725260,MIR143,inhibit_relation,MIR200C
29734788,AKT,inhibit_relation,SAV
29734788,VGLL4,inhibit_relation,YAP
29734788,MST1,inhibit_relation,GPCR
29734788,LATS1,inhibit_relation,bTrCP
29734788,ABL1,inhibit_relation,YAP
29734788,AKT,inhibit_relation,SAV
29769148,PD-1,inhibit_relation,PD-L1
29973561,TSC2,inhibit_relation,RHEB
29973561,TSC2,inhibit_relation,PI3K
29973561,FAK,inhibit_relation,EGFR
29973561,FAK,inhibit_relation,PI3K
29973561,KRAS,inhibit_relation,EGFR
30040046,RHEB,inhibit_relation,TSC1
30040046,MTORC1,inhibit_relation,raptor
30344651,CD28,inhibit_relation,CTLA-4
30344651,CTLA-4,inhibit_relation,CD28
30809599,AC,inhibit_relation,p53
30982492,MIR-21,inhibit_relation,PTEN
30982492,FAK,inhibit_relation,MIR-21
31035693,TP53,inhibit_relation,TP73
31035693,MDM2,inhibit_relation,TP53
31035693,NF1,inhibit_relation,KRAS
31035693,CDKN2A,inhibit_relation,MDM2
31083461,NF2,inhibit_relation,SNAIL
31083461,RKIP,inhibit_relation,GLI1
31083461,RKIP,inhibit_relation,SNAIL
31083461,SNAIL,inhibit_relation,RKIP
31083461,RKIP,inhibit_relation,Raf
31108964,BIM,inhibit_relation,BAX
31134065,C1-INH,inhibit_relation,C1R
31134065,CD55,inhibit_relation,C4B
31134065,CD55,inhibit_relation,Cab
31266248,MDM2,inhibit_relation,TP53
31275616,PD-L1,inhibit_relation,PD-1
31333652,TAP1,inhibit_relation,TAP2
31383005,p53,inhibit_relation,E2F1
31383005,EZH2,inhibit_relation,SLFN11
31383005,G2,inhibit_relation,GL
31387256,YAP,inhibit_relation,ERK
31387256,YAP,inhibit_relation,TEAD
31387256,JAK,inhibit_relation,EGFR
31387256,AND,inhibit_relation,PD-L1
31387256,YAP,inhibit_relation,MAPK
31387256,MAPK,inhibit_relation,YAP
31527477,MTORC1,inhibit_relation,ATG14L
31527477,MTORC1,inhibit_relation,ULK
31527477,AKT,inhibit_relation,ATG14L
31527477,SHP2,inhibit_relation,STATI
31527477,ULK,inhibit_relation,MTORC1
31527477,ULK,inhibit_relation,MTORC1
31544066,AA,inhibit_relation,GLUD1
31554160,STAT3,inhibit_relation,STATI
31554160,STAT3,inhibit_relation,STATI
31681582,MIR200C,inhibit_relation,LIN28B
31681582,MIR155,inhibit_relation,SMAD2
31754330,PI3K,inhibit_relation,EGFR
31819518,PTEN,inhibit_relation,PI3K
31859460,FOXM,inhibit_relation,SOX
31859460,VEGF,inhibit_relation,VEGFR
31859460,FOXM,inhibit_relation,SMAD4
31859460,RAS,inhibit_relation,PI3K
31871778,MIR23A,inhibit_relation,PTEN
31871778,PI3K,inhibit_relation,AKT
31871778,PTEN,inhibit_relation,AKT
31920650,MIR18A,inhibit_relation,MIR19A
31920650,MIR18A,inhibit_relation,PTEN
31920650,MIR-145,inhibit_relation,FSCN1
31920650,MIR-145,inhibit_relation,LINC-ROR
31920650,bcl-xL,inhibit_relation,FSCN1
31920650,MIR-145,inhibit_relation,LINC-ROR
31921642,CD206,inhibit_relation,TH1
31921642,CD206,inhibit_relation,TH1
31988639,TSC2,inhibit_relation,RHEB
31988639,MTOR,inhibit_relation,GBL
31989585,SHP-2,inhibit_relation,ZAP-70
31989585,ZAP-70,inhibit_relation,PI3K
32062493,PI3K,inhibit_relation,HIRS-1
32062493,ERK1,inhibit_relation,RHEB
32133288,CAF,inhibit_relation,PDL1
32133288,CAF,inhibit_relation,PDL1
32194994,ROCK,inhibit_relation,RAC1
32290309,ERK1,inhibit_relation,AND
32365499,PIAS,inhibit_relation,STAT3
32425930,CCR8,inhibit_relation,CXCR2
32425930,CXCR2,inhibit_relation,CCR10
32425930,CXCR2,inhibit_relation,CCR8
32466572,SRC,inhibit_relation,FAK
32466572,MAPK,inhibit_relation,YAP
32466572,SRC,inhibit_relation,YAP
32466572,MAPK,inhibit_relation,YAP
32466572,SRC,inhibit_relation,YAP
32466572,SRC,inhibit_relation,FAK
32466572,MAPK,inhibit_relation,YAP
32466572,MAPK,inhibit_relation,YAP
32466572,MAPK,inhibit_relation,YAP
32466572,LATS1,inhibit_relation,YAP
32466572,MAPK,inhibit_relation,PI3K
