PMID,Img_file_name,StartID,Relation,ReceptorID
22176813,22176813_page1_24,PTEN,inhibit_relation,AKT
23345546,23345546_page3_11,HER3,inhibit_relation,P85
23393121,23393121_page3_81,SHP2,inhibit_relation,aP2
23708071,23708071_page2_25,LPC,inhibit_relation,LPA
23885909,23885909_page5_123,PTEN,inhibit_relation,AKT
23909719,23909719_page4_22,NRF2,inhibit_relation,SMAD4
23909719,23909719_page4_22,SMAD4,inhibit_relation,NRF2
25101240,25101240_page1_4,p110,inhibit_relation,GSK3B
25101240,25101240_page1_4,AKT,inhibit_relation,BAD
25101240,25101240_page1_4,GSK3B,inhibit_relation,MCI1
25101240,25101240_page1_4,FOS,inhibit_relation,p21
25505733,25505733_page1_4,AKT,inhibit_relation,PI3K
25505733,25505733_page1_4,PDK1,inhibit_relation,CDK
25806180,25806180_page3_8,AKT,inhibit_relation,PC
25806180,25806180_page3_8,CA2,inhibit_relation,TSP1
25806231,25806231_page2_11,BRCC36,inhibit_relation,RAP80
25806231,25806231_page2_11,OTUB1,inhibit_relation,MMS2
25806231,25806231_page2_11,BARD1,inhibit_relation,53BP1
25806231,25806231_page2_11,53BP1,inhibit_relation,CtIP
25806290,25806290_page1_14,PTEN,inhibit_relation,PI3K
25806290,25806290_page1_14,AMPK,inhibit_relation,IGF1
26207212,26207212_page2_9,CBL,inhibit_relation,HGF
26578706,26578706_page2_97,ERK,inhibit_relation,MEK
26579470,26579470_page1_13,AKT,inhibit_relation,BAD
26579470,26579470_page1_13,PTEN,inhibit_relation,PIP
26579470,26579470_page1_13,DAG,inhibit_relation,PKC
26579470,26579470_page3_62,AKT,inhibit_relation,BIM
26579470,26579470_page3_62,PTEN,inhibit_relation,PI3K
26579470,26579470_page6_135,MCL,inhibit_relation,BAK
26579470,26579470_page6_135,BIM,inhibit_relation,BCL2
26579470,26579470_page7_156,PTEN,inhibit_relation,PI3K
26579470,26579470_page7_156,BIM,inhibit_relation,p53
26793003,26793003_page1_35,MORC2,inhibit_relation,PI3K
26891293,26891293_page8_281,MIR520H,inhibit_relation,cadherin
26891293,26891293_page8_281,MIR150,inhibit_relation,SRCIN1
26891293,26891293_page8_281,SRCIN1,inhibit_relation,SRC
26891293,26891293_page8_281,MIR21,inhibit_relation,AKT
26891293,26891293_page8_281,AKT,inhibit_relation,p53
26893312,26893312_page7_50,MEKK12,inhibit_relation,ERK
27676292,27676292_page3_277,SLUG,inhibit_relation,cadherin
27994551,27994551_page3_338,AKT,inhibit_relation,p21
27994551,27994551_page3_338,PTEN,inhibit_relation,PI3K
27994551,27994551_page3_338,AKT,inhibit_relation,GSK3B
27994551,27994551_page3_338,AKT,inhibit_relation,p21
28066768,28066768_page2_9,VEGF,inhibit_relation,VEGFR
28208579,28208579_page5_302,MTOR,inhibit_relation,AMPK
28208579,28208579_page5_302,p53,inhibit_relation,FIP200
28208579,28208579_page5_302,p53,inhibit_relation,AMPK
28208579,28208579_page5_302,AMPK,inhibit_relation,MTOR
28208579,28208579_page7_414,MTORC1,inhibit_relation,4E-BP1
28208579,28208579_page7_414,MTORC1,inhibit_relation,ULK1
28208579,28208579_page7_414,AMPK,inhibit_relation,MTORC1
28261342,28261342_page1_3,CELL,inhibit_relation,PD1
28396848,28396848_page1_50,CDK,inhibit_relation,RB1
28415568,28415568_page3_12,MIR1290,inhibit_relation,MCRS1
28415568,28415568_page3_12,MIR3200,inhibit_relation,SNAIL
28443282,28443282_page1_4,PTEN,inhibit_relation,PI3K
28443282,28443282_page1_4,MDM2,inhibit_relation,p53
28490925,28490925_page1_37,PTEN,inhibit_relation,AKT
28915704,28915704_page4_16,VHL,inhibit_relation,HIF1A
28915708,28915708_page2_10,AMPK,inhibit_relation,PI3K
28915708,28915708_page2_10,TSC2,inhibit_relation,RHEB
28915708,28915708_page2_10,TSC1,inhibit_relation,TSC2
28915708,28915708_page2_9,AKT,inhibit_relation,TSC1
28915708,28915708_page2_9,RHEB,inhibit_relation,TSC1
28915708,28915708_page9_51,AMPK,inhibit_relation,ATM
28915708,28915708_page9_51,TSC1,inhibit_relation,PI3K
28915708,28915708_page9_51,TSC1,inhibit_relation,RHEB
28990243,28990243_page4_28,ITGB1,inhibit_relation,MIR134
28990243,28990243_page4_28,MIR134,inhibit_relation,VIM
28990243,28990243_page4_28,ITGB1,inhibit_relation,MIR30C2
28990243,28990243_page4_28,MIR1244,inhibit_relation,SLUG
29151973,29151973_page3_10,MIR200C,inhibit_relation,cadherin
29151973,29151973_page3_10,MIR181A1,inhibit_relation,BAX
29151973,29151973_page3_10,MIR17,inhibit_relation,TGFBR2
29151973,29151973_page3_10,MIR26A1,inhibit_relation,HMGA2
29151973,29151973_page3_10,MIR217,inhibit_relation,KRAS
29151973,29151973_page3_10,MIR34A,inhibit_relation,PEBP4
29151973,29151973_page3_10,MIR21,inhibit_relation,BAX
29151973,29151973_page3_10,MMA,inhibit_relation,BCL2
29151973,29151973_page3_10,cadherin,inhibit_relation,EMT
29151973,29151973_page3_10,MIR17,inhibit_relation,CDKN1A
29151973,29151973_page3_10,MIR1238,inhibit_relation,CCND3
29151973,29151973_page3_10,BAX,inhibit_relation,BCL2
