~start_node_labels,~start_node_property_name,~relationship_type,~end_node_labels,~end_node_property_name,count
BIOMARKER,ALK FUSION,INDICATES,GENE,ALK,1
BIOMARKER,BRAF V600E,INDICATES,GENE,BRAF,1
BIOMARKER,EGFR EXON 19 DELETION,INDICATES,GENE,EGFR,1
BIOMARKER,EGFR L858R,INDICATES,GENE,EGFR,1
BIOMARKER,KRAS G12C,INDICATES,GENE,KRAS,1
BIOMARKER,KRAS G12D,INDICATES,GENE,KRAS,1
BIOMARKER,MET AMPLIFICATION,INDICATES,GENE,MET,1
BIOMARKER,MET EXON 14 SKIPPING,INDICATES,GENE,MET,1
BIOMARKER,PD-L1,INDICATES,GENE,TP53,1
BIOMARKER,ROS1 FUSION,INDICATES,GENE,ROS1,1
DRUG,ADAGRASIB,TARGETS,GENE,KRAS,1
DRUG,AFATINIB,TARGETS,GENE,EGFR,1
DRUG,ALECTINIB,INHIBITION,GENE,ALK,1
DRUG,ALECTINIB,TARGETS,GENE,ALK,1
DRUG,ALPELISIB,INHIBITION,GENE,PIK3CA,1
DRUG,BRIGATINIB,TARGETS,GENE,ALK,1
DRUG,CAPMATINIB,INHIBITION,GENE,MET,1
DRUG,CAPMATINIB,TARGETS,GENE,MET,1
DRUG,CERITINIB,TARGETS,GENE,ALK,1
DRUG,CRIZOTINIB,INHIBITION,GENE,ALK,1
DRUG,CRIZOTINIB,INHIBITION,GENE,ROS1,1
DRUG,CRIZOTINIB,TARGETS,GENE,ALK,1
DRUG,CRIZOTINIB,TARGETS,GENE,MET,1
DRUG,CRIZOTINIB,TARGETS,GENE,ROS1,1
DRUG,DABRAFENIB,INHIBITION,GENE,BRAF,1
DRUG,DABRAFENIB,TARGETS,GENE,BRAF,1
DRUG,ENTRECTINIB,INHIBITION,GENE,ROS1,1
DRUG,ENTRECTINIB,TARGETS,GENE,ROS1,1
DRUG,ERLOTINIB,TARGETS,GENE,EGFR,1
DRUG,GEFITINIB,TARGETS,GENE,EGFR,1
