PMID,Img_file_name,StartID,Relation,ReceptorID,GPT_answer
21715183,21715183_page2_39.jpg,AKT,activate,ERK,Yes
21715183,21715183_page2_39.jpg,PKC,activate,PLC-y,No
21715183,21715183_page2_39.jpg,PLC-y,activate,PKC,Yes
21715183,21715183_page2_39.jpg,VEGFR,activate,PLC-y,No
21715183,21715183_page2_39.jpg,RAS,activate,Raf,Yes
22176813,22176813_page1_24.jpg,RAS,activate,Raf,Yes
22520478,22520478_page2_35.jpg,RAS,activate,Raf,Yes
22739075,22739075_page2_36.jpg,RAS,activate,Raf,Yes
23070242,23070242_page1_9.jpg,RAS,activate,Raf,Yes
23681892,23681892_page3_48.jpg,RAS,activate,Raf,Yes
24258572,24258572_page2_27.jpg,RAS,activate,Raf,Yes
24355409,24355409_page3_62.jpg,RAS,activate,Raf,Yes
25488861,25488861_page1_19.jpg,RAS,activate,Raf,Yes
25488861,25488861_page1_19.jpg,RAS,activate,Raf,Yes
25601485,25601485_page1_29.jpg,RAS,activate,Raf,Yes
26182407,26182407_page2_17.jpg,RAS,activate,Raf,Yes
26898616,26898616_page6_80.jpg,RAS,activate,Raf,Yes
30865033,30865033_page1_6.jpg,RAS,activate,Raf,Yes
31256210,31256210_page2_52.jpg,RAS,activate,Raf,Yes
31387256,31387256_page2_203.jpg,RAS,activate,Raf,Yes
31917616,31917616_page46_222.jpg,RAS,activate,Raf,Yes
32292093,32292093_page2_174.jpg,RAS,activate,Raf,Yes
32745965,32745965_page2_29.jpg,RAS,activate,Raf,Yes
32750701,32750701_page2_58.jpg,RAS,activate,Raf,Yes
32873398,32873398_page5_145.jpg,RAS,activate,Raf,Yes
33945380,33945380_page2_662.jpg,RAS,activate,Raf,Yes
21715183,21715183_page2_39.jpg,Raf,activate,MEK,Yes
22520478,22520478_page2_35.jpg,Raf,activate,MEK,Yes
22551539,22551539_page3_7.jpg,Raf,activate,MEK,Yes
22739075,22739075_page2_36.jpg,Raf,activate,MEK,Yes
23070242,23070242_page1_9.jpg,Raf,activate,MEK,Yes
23681892,23681892_page3_48.jpg,Raf,activate,MEK,Yes
24258572,24258572_page2_27.jpg,Raf,activate,MEK,Yes
25488861,25488861_page1_19.jpg,Raf,activate,MEK,Yes
25488861,25488861_page1_19.jpg,Raf,activate,MEK,Yes
25488861,25488861_page1_19.jpg,Raf,activate,MEK,Yes
25601485,25601485_page1_29.jpg,Raf,activate,MEK,Yes
26182407,26182407_page6_30.jpg,Raf,activate,MEK,Yes
26898616,26898616_page6_80.jpg,Raf,activate,MEK,Yes
26960735,26960735_page1_76.jpg,Raf,activate,MEK,Yes
28463570,28463570_page18_222.jpg,Raf,activate,MEK,Yes
29894909,29894909_page3_53.jpg,Raf,activate,MEK,Yes
31256210,31256210_page2_52.jpg,Raf,activate,MEK,Yes
31387181,31387181_page1_27.jpg,Raf,activate,MEK,Yes
31917616,31917616_page46_222.jpg,Raf,activate,MEK,Yes
32292093,32292093_page2_174.jpg,Raf,activate,MEK,Yes
