entity,type,link,KEGG_ID,alias,credibilities
H2O,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00001,cpd:C00001,"H2O; Water
",8
ATP,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00002,cpd:C00002,ATP; Adenosine 5'-triphosphate,29
NAD+,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00003,cpd:C00003,"NAD+; NAD; Nicotinamide adenine dinucleotide; DPN; Diphosphopyridine nucleotide; Nadide; beta-NAD+
",17
NADPH,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00005,cpd:C00005,"NADPH; TPNH; Reduced nicotinamide adenine dinucleotide phosphate
",1
Oxygen,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00007,cpd:C00007,"Oxygen; O2
",3
ADP,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00008,cpd:C00008,ADP; Adenosine 5'-diphosphate,23
CO2,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00011,cpd:C00011,"CO2; Carbon dioxide
",2
UDP,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00015,cpd:C00015,"UDP; Uridine 5'-diphosphate
",19
Protein,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00017,cpd:C00017,"Protein
",4
AMP,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00020,cpd:C00020,"AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate
",7
L-Glutamate,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00025,cpd:C00025,"L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate
",176
2-Oxoglutarate,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00026,cpd:C00026,"2-Oxoglutarate; Oxoglutaric acid; 2-Ketoglutaric acid; alpha-Ketoglutaric acid
",3
Hydrogen peroxide,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00027,cpd:C00027,"Hydrogen peroxide; H2O2; Oxydol
",115
D-Glucose,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00031,cpd:C00031,"D-Glucose; Grape sugar; Dextrose; Glucose; D-Glucopyranose
",24
Manganese,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00034,cpd:C00034,"Manganese
",4
GDP,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00035,cpd:C00035,"GDP; Guanosine 5'-diphosphate; Guanosine diphosphate
",10
Glycine,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00037,cpd:C00037,"Glycine; Aminoacetic acid; Gly
",4
Zinc cation,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00038,cpd:C00038,"Zinc cation; Zn2+; Zn(II); Zinc ion
",11
Succinate,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00042,cpd:C00042,"Succinate; Succinic acid; Butanedionic acid; Ethylenesuccinic acid
",25
UDP-N-acetyl-alpha-D-glucosamine,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00043,cpd:C00043,"UDP-N-acetyl-alpha-D-glucosamine; UDP-N-acetyl-D-glucosamine; UDP-N-acetylglucosamine
",8
GTP,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00044,cpd:C00044,"GTP; Guanosine 5'-triphosphate
",14
RNA,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00046,cpd:C00046,"RNA; RNAn; RNAn+1; RNA(linear); (Ribonucleotide)n; (Ribonucleotide)m; (Ribonucleotide)n+m; Ribonucleic acid
",20
L-Aspartate,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00049,cpd:C00049,"L-Aspartate; L-Aspartic acid; 2-Aminosuccinic acid; L-Asp
",26
Glutathione,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00051,cpd:C00051,"Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione
",1
L-Arginine,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00062,cpd:C00062,"L-Arginine; (S)-2-Amino-5-guanidinovaleric acid; L-Arg
",1
L-Glutamine,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00064,cpd:C00064,"L-Glutamine; L-2-Aminoglutaramic acid
",12
Copper,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00070,cpd:C00070,"Copper
",12
Ascorbate,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00072,cpd:C00072,"Ascorbate; Ascorbic acid; L-Ascorbate; L-Ascorbic acid; Vitamin C
",3
UTP,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00075,cpd:C00075,UTP; Uridine 5'-triphosphate; Uridine triphosphate,19
Calcium cation,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00076,cpd:C00076,"Calcium cation; Ca2+; Calcium(2+); Calcium ion
",659
H+,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00080,cpd:C00080,"H+; Hydron
",58
L-Tyrosine,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00082,cpd:C00082,"L-Tyrosine; (S)-3-(p-Hydroxyphenyl)alanine; (S)-2-Amino-3-(p-hydroxyphenyl)propionic acid; Tyrosine
",1
Malonyl-CoA,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00083,cpd:C00083,"Malonyl-CoA; Malonyl coenzyme A
",17
Acetaldehyde,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00084,cpd:C00084,"Acetaldehyde; Ethanal
",14
D-Fructose,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00095,cpd:C00095,"D-Fructose; Levulose; Fruit sugar; D-arabino-Hexulose
",13
beta-Alanine,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00099,cpd:C00099,"beta-Alanine; 3-Aminopropionic acid; 3-Aminopropanoate
",4
Fumarate,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00122,cpd:C00122,"Fumarate; Fumaric acid; trans-Butenedioic acid
",7
L-Leucine,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00123,cpd:C00123,"L-Leucine; 2-Amino-4-methylvaleric acid; (2S)-alpha-2-Amino-4-methylvaleric acid; (2S)-alpha-Leucine
",1
IMP,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00130,cpd:C00130,"IMP; Inosinic acid; Inosine monophosphate; Inosine 5'-monophosphate; Inosine 5'-phosphate; 5'-Inosinate; 5'-Inosinic acid; 5'-Inosine monophosphate; 5'-IMP
",2
GMP,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00144,cpd:C00144,"GMP; Guanosine 5'-phosphate; Guanosine monophosphate; Guanosine 5'-monophosphate; Guanylic acid
",3
(S)-Malate,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00149,cpd:C00149,"(S)-Malate; L-Malate; L-Apple acid; L-Malic acid; L-2-Hydroxybutanedioic acid; Malate; Malic acid
",1
L-Homocysteine,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00155,cpd:C00155,"L-Homocysteine; L-2-Amino-4-mercaptobutyric acid; Homocysteine
",1
D-Mannose,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00159,cpd:C00159,"D-Mannose; Mannose; Seminose; Carubinose; D-Mannopyranose
",4
Fatty acid,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00162,cpd:C00162,"Fatty acid
",21
Diacylglycerol,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00165,cpd:C00165,"Diacylglycerol; Diglyceride
",372
(S)-Lactate,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00186,cpd:C00186,"(S)-Lactate; L-Lactate; L-Lactic acid
",25
Cholesterol,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00187,cpd:C00187,"Cholesterol; Cholest-5-en-3beta-ol
",1
N-Acylsphingosine,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00195,cpd:C00195,"N-Acylsphingosine; Ceramide; N-Acylsphing-4-enine; (4E)-Sphing-4-enine ceramide
",51
Adenosine,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00212,cpd:C00212,"Adenosine
",63
Arachidonate,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00219,cpd:C00219,"Arachidonate; Arachidonic acid; (5Z,8Z,11Z,14Z)-Icosatetraenoic acid; cis-5,8,11,14-Eicosatetraenoic acid; 5Z,8Z,11Z,14Z-Eicosatetraenoic acid; (5Z,8Z,11Z,14Z)-Icosa-5,8,11,14-tetraenoic acid",66
Potassium cation,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00238,cpd:C00238,"Potassium cation; K+; Potassium(1+); Potassium ion
",4
Taurine,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00245,cpd:C00245,"Taurine; 2-Aminoethanesulfonic acid; Aminoethylsulfonic acid
",4
Androstenedione,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00280,cpd:C00280,"Androstenedione; Androst-4-ene-3,17-dione; 4-Androstene-3,17-dione",1
HCO3-,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00288,cpd:C00288,"HCO3-; Hydrogencarbonate; Bicarbonate; Hydrogen carbonate; Acid carbonate
",3
Fibrin,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00290,cpd:C00290,"Fibrin
",6
Magnesium cation,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00305,cpd:C00305,"Magnesium cation; Mg2+; Magnesium(2+); Magnesium ion
",4
4-Aminobutanoate,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00334,cpd:C00334,"4-Aminobutanoate; 4-Aminobutanoic acid; 4-Aminobutyrate; 4-Aminobutyric acid; gamma-Aminobutyric acid; GABA
",162
Lipopolysaccharide,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00338,cpd:C00338,"Lipopolysaccharide; LPS
",12
