gene,kegg_id,alia,copy
GALM,hsa:130589,BLOCK25,GALM (copy)
GALM,hsa:130589,GALAC4,GALM (copy)
GALM,hsa:130589,GLAT,GALM (copy)
GALM,hsa:130589,HEL-S-63p,GALM (copy)
GALM,hsa:130589,IBD1,GALM (copy)
GALM,hsa:130589,galactose mutarotase,GALM (copy)
HK1,hsa:3098,HK,HK1 (copy)
HK1,hsa:3098,HK1-ta,HK1 (copy)
HK1,hsa:3098,HK1-tb,HK1 (copy)
HK1,hsa:3098,HK1-tc,HK1 (copy)
HK1,hsa:3098,HKD,HK1 (copy)
HK1,hsa:3098,HKI,HK1 (copy)
HK1,hsa:3098,HMSNR,HK1 (copy)
HK1,hsa:3098,HXK1,HK1 (copy)
HK1,hsa:3098,NEDVIBA,HK1 (copy)
HK1,hsa:3098,RP79,HK1 (copy)
HK1,hsa:3098,hexokinase,HK1 (copy)
HK1,hsa:3098,hexokinase 1,HK1 (copy)
GCK,hsa:2645,FGQTL3,GCK (copy)
GCK,hsa:2645,GK,GCK (copy)
GCK,hsa:2645,GLK,GCK (copy)
GCK,hsa:2645,HHF3,GCK (copy)
GCK,hsa:2645,HK4,GCK (copy)
GCK,hsa:2645,HKIV,GCK (copy)
GCK,hsa:2645,HXKP,GCK (copy)
GCK,hsa:2645,LGLK,GCK (copy)
GCK,hsa:2645,MODY2,GCK (copy)
GCK,hsa:2645,PNDM1,GCK (copy)
GCK,hsa:2645,glucokinase,GCK (copy)
HK2,hsa:3099,HKII,HK2 (copy)
HK2,hsa:3099,HXK2,HK2 (copy)
HK2,hsa:3099,hexokinase 2,HK2 (copy)
HK3,hsa:3101,HKIII,HK3 (copy)
HK3,hsa:3101,HXK3,HK3 (copy)
HK3,hsa:3101,hexokinase 3,HK3 (copy)
HKDC1,hsa:80201,RP92,HKDC1 (copy)
HKDC1,hsa:80201,hexokinase domain containing 1,HKDC1 (copy)
GPI,hsa:2821,AMF,GPI (copy)
GPI,hsa:2821,GNPI,GPI (copy)
GPI,hsa:2821,NLK,GPI (copy)
GPI,hsa:2821,PGI,GPI (copy)
GPI,hsa:2821,PHI,GPI (copy)
GPI,hsa:2821,SA-36,GPI (copy)
GPI,hsa:2821,SA36,GPI (copy)
GPI,hsa:2821,glucose-6-phosphate isomerase,GPI (copy)
PGM1,hsa:5236,CDG1T,PGM1 (copy)
PGM1,hsa:5236,GSD14,PGM1 (copy)
PGM1,hsa:5236,phosphoglucomutase 1,PGM1 (copy)
G6PC1,hsa:2538,G6PC,G6PC1 (copy)
G6PC1,hsa:2538,G6PT,G6PC1 (copy)
G6PC1,hsa:2538,G6Pase,G6PC1 (copy)
G6PC1,hsa:2538,GSD1,G6PC1 (copy)
G6PC1,hsa:2538,GSD1a,G6PC1 (copy)
G6PC1,hsa:2538,glucose-6-phosphatase catalytic subunit 1,G6PC1 (copy)
PGM2,hsa:55276,MSTP006,PGM2 (copy)
PGM2,hsa:55276,phosphoglucomutase 2,PGM2 (copy)
FBP1,hsa:2203,FBP,FBP1 (copy)
FBP1,hsa:2203,fructose-bisphosphatase 1,FBP1 (copy)
PFKL,hsa:5211,ATP-PFK,PFKL (copy)
PFKL,hsa:5211,PFK-B,PFKL (copy)
PFKL,hsa:5211,PFK-L,PFKL (copy)
PFKL,hsa:5211,phosphofructokinase,PFKL (copy)
PFKL,hsa:5211,liver type,PFKL (copy)
PFKM,hsa:5213,ATP-PFK,PFKM (copy)
PFKM,hsa:5213,GSD7,PFKM (copy)
PFKM,hsa:5213,PFK-1,PFKM (copy)
PFKM,hsa:5213,PFK-A,PFKM (copy)
PFKM,hsa:5213,PFK1,PFKM (copy)
PFKM,hsa:5213,PFKA,PFKM (copy)
PFKM,hsa:5213,PFKX,PFKM (copy)
PFKM,hsa:5213,PPP1R122,PFKM (copy)
PFKM,hsa:5213,phosphofructokinase,PFKM (copy)
PFKM,hsa:5213,muscle,PFKM (copy)
PFKP,hsa:5214,ATP-PFK,PFKP (copy)
PFKP,hsa:5214,PFK-C,PFKP (copy)
PFKP,hsa:5214,PFK-P,PFKP (copy)
PFKP,hsa:5214,PFKF,PFKP (copy)
PFKP,hsa:5214,phosphofructokinase,PFKP (copy)
PFKP,hsa:5214,platelet,PFKP (copy)
ALDOA,hsa:226,ALDA,ALDOA (copy)
ALDOA,hsa:226,GSD12,ALDOA (copy)
ALDOA,hsa:226,HEL-S-87p,ALDOA (copy)
ALDOA,hsa:226,aldolase,ALDOA (copy)
ALDOA,hsa:226,fructose-bisphosphate A,ALDOA (copy)
ALDOB,hsa:229,ALDB,ALDOB (copy)
ALDOB,hsa:229,ALDO2,ALDOB (copy)
ALDOB,hsa:229,aldolase,ALDOB (copy)
ALDOB,hsa:229,fructose-bisphosphate B,ALDOB (copy)
ALDOC,hsa:230,ALDC,ALDOC (copy)
ALDOC,hsa:230,aldolase,ALDOC (copy)
ALDOC,hsa:230,fructose-bisphosphate C,ALDOC (copy)
TPI1,hsa:7167,HEL-S-49,TPI1 (copy)
TPI1,hsa:7167,TIM,TPI1 (copy)
TPI1,hsa:7167,TPI,TPI1 (copy)
