Entry,Entry_Name,Gene_Names,Protein_names,Gene_Names_synonym,gene_id,HGNC_name,HGNC_prev_name,HGNC_alias_name,HGNC_alias_symbol,NCBI_nomenclaturename,NCBI_otheraliases,Gene_name(primary)
A1KXE4,F168B_HUMAN,FAM168B; KIAA0280L; MANI,Myelin-associated neurite-outgrowth inhibitor; Mani; p20,KIAA0280L; MANI,130074,family with sequence similarity 168 member B,family with sequence similarity 168; member B,myelin associated neurite outgrowth inhibitor,KIAA0280L; MANI,family with sequence similarity 168 member B,MANI,FAM168B
A1X283,SPD2B_HUMAN,SH3PXD2B; FAD49; KIAA1295; TKS4,SH3 and PX domain-containing protein 2B; Adapter protein HOFI; Factor for adipocyte differentiation 49; Tyrosine kinase substrate with four SH3 domains,FAD49; KIAA1295; TKS4,285590,SH3 and PX domains 2B,KIAA1295,,FLJ20831,SH3 and PX domains 2B,FAD49; FTHS; HOFI; KIAA1295; TKS4; TSK4,SH3PXD2B
A8K4G0,CLM7_HUMAN,CD300LB; CD300B; CLM7; CMRF35A2; IREM3; LMIR5; TREM5; UNQ2530/PRO6029,CMRF35-like molecule 7; CLM-7; CD300 antigen-like family member B; CMRF35-A2; Immune receptor expressed on myeloid cells 3; IREM-3; Leukocyte mono-Ig-like receptor 5; Triggering receptor expressed on myeloid cells 5; TREM-5; CD antigen CD300b,CD300B; CLM7; CMRF35A2; IREM3; LMIR5; TREM5,124599,CD300 molecule like family member b,CD300 antigen like family member B; CD300 molecule-like family member b,triggering receptor expressed on myeloid cells 5,TREM5; CLM7,CD300 molecule like family member b,CD300b; CLM-7; CLM7; CMRF35-A2; IREM-3; IREM3; TREM-5; TREM5,CD300LB
A8MW95,BECN2_HUMAN,BECN2; BECN1L1; BECN1P1,Beclin-2; Beclin-1 autophagy-related pseudogene 1; Beclin-1-like protein 1,BECN1L1; BECN1P1,441925,beclin 2,beclin 1; autophagy related; pseudogene 1,,,beclin 2,BECN1L1; BECN1P1,BECN2
A8MYU2,KCNU1_HUMAN,KCNU1; KCNMA3; KCNMC1; SLO3,Potassium channel subfamily U member 1; Calcium-activated potassium channel subunit alpha-3; Calcium-activated potassium channel; subfamily M subunit alpha-3; KCa5; Slowpoke homolog 3,KCNMA3; KCNMC1; SLO3,157855,potassium calcium-activated channel subfamily U member 1,potassium channel; subfamily U; member 1,,KCa5.1; Slo3; KCNMC1; Kcnma3,potassium calcium-activated channel subfamily U member 1,KCNMC1; KCa5; KCa5.1; Kcnma3; SPGF79; Slo3,KCNU1
C9JLW8,MCRI1_HUMAN,MCRIP1; FAM195B; GRAN2,Mapk-regulated corepressor-interacting protein 1; Granulin-2; Protein FAM195B,FAM195B; GRAN2,348262,MAPK regulated corepressor interacting protein 1,family with sequence similarity 195; member B; family with sequence similarity 195 member B,granulin-2,GRAN2; MCRIP,MAPK regulated corepressor interacting protein 1,FAM195B; GRAN2; MCRIP,MCRIP1
O00139,KIF2A_HUMAN,KIF2A; KIF2; KNS2,Kinesin-like protein KIF2A; Kinesin-2; hK2,KIF2; KNS2,3796,kinesin family member 2A,kinesin heavy chain member 2,,HK2,kinesin family member 2A,CDCBM3; HK2; KIF2,KIF2A
O00141,SGK1_HUMAN,SGK1; SGK,Serine/threonine-protein kinase Sgk1; EC 2.7.11.1; Serum/glucocorticoid-regulated kinase 1,SGK,6446,serum/glucocorticoid regulated kinase 1,serum/glucocorticoid regulated kinase,,,serum/glucocorticoid regulated kinase 1,SGK,SGK1
O00144,FZD9_HUMAN,FZD9; FZD3,Frizzled-9; Fz-9; hFz9; FzE6; CD antigen CD349,FZD3,8326,frizzled class receptor 9,frizzled (Drosophila) homolog 9; frizzled homolog 9 (Drosophila); frizzled 9; seven transmembrane spanning receptor; frizzled family receptor 9,Frizzled-9,FZD3; CD349,frizzled class receptor 9,CD349; FZD3,FZD9
O00161,SNP23_HUMAN,SNAP23,Synaptosomal-associated protein 23; SNAP-23; Vesicle-membrane fusion protein SNAP-23,,8773,synaptosome associated protein 23,synaptosomal-associated protein; 23kDa,,SNAP23A; SNAP23B; HsT17016,synaptosome associated protein 23,HsT17016; SNAP-23; SNAP23A; SNAP23B,SNAP23
